strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio,ytd
FCF_P_<0__DEBTRATIO_0.35_0.55__C2_ROE_SEQ_riseq1__v0,FCF_P_<0,DEBTRATIO_0.35_0.55,C2_ROE_SEQ_riseq1,v0,0.06385115835654975,91.87,-0.09462816356772541,0.5853658536585366,0.006690972691222541
DEBTRATIO_0.35_0.55__ROE_<5__C3_ROE_SEQ_yoy__v1,DEBTRATIO_0.35_0.55,ROE_<5,C3_ROE_SEQ_yoy,v1,0.06281796193871014,72.58,-0.46719334348604835,0.5324675324675324,-0.06160603717540325
ROE_10_15__DEBTRATIO_>=0.55__C1_ROE_SEQ_qmax4__v1,ROE_10_15,DEBTRATIO_>=0.55,C1_ROE_SEQ_qmax4,v1,0.06273184369291229,87.77,-0.47713806097970257,0.6410256410256411,0.027742935816504888
FCF_P_>=0.05__EPS_>=2__C2_ROE_SEQ_riseq1__v0,FCF_P_>=0.05,EPS_>=2,C2_ROE_SEQ_riseq1,v0,0.06271073141161954,107.09,-0.144992977390608,0.7272727272727273,0.0
EPS_>=2__ROE_10_15__C1_ROE_SEQ_qmax4__v1,EPS_>=2,ROE_10_15,C1_ROE_SEQ_qmax4,v1,0.06253423865412922,65.4,-0.5103374164645403,0.5207100591715976,-0.03307029895802727
DEBTRATIO_>=0.55__None__C8_FCF_MOM_riseq2__v0,DEBTRATIO_>=0.55,None,C8_FCF_MOM_riseq2,v0,0.06249255436619494,48.05,-0.5956965947214807,0.5466666666666666,-0.14457580439934314
DEBTRATIO_0_0.35__None__C8_FCF_MOM_riseq2__v0,DEBTRATIO_0_0.35,None,C8_FCF_MOM_riseq2,v0,0.06248019487139045,61.7,-0.36425301758752227,0.5581113801452785,-0.15189880749112572
DEBTRATIO_0_0.35__FCF_P_0_0.05__C5_REVENUE_GROWTH_yoy__v0,DEBTRATIO_0_0.35,FCF_P_0_0.05,C5_REVENUE_GROWTH_yoy,v0,0.06243449068168072,88.05,-0.3875577386121343,0.5679347826086957,-0.05859098784410843
ROE_15_20__FCF_P_0_0.05__C3_ROE_SEQ_yoy__v1,ROE_15_20,FCF_P_0_0.05,C3_ROE_SEQ_yoy,v1,0.06242202536928443,66.2,-0.24933629981589944,0.5882352941176471,-0.08661822634866734
DEBTRATIO_0.35_0.55__ROE_<5__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,DEBTRATIO_0.35_0.55,ROE_<5,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.061597904895864364,140.93,-0.33045234238813614,0.5490716180371353,0.1124077426423058
EPS_>=2__FCF_P_>=0.05__None__v1,EPS_>=2,FCF_P_>=0.05,None,v1,0.06122404689033889,77.09,-0.60516487472555,0.5,0.11484717658222743
EPS_>=2__DEBTRATIO_>=0.55__C8_FCF_MOM_riseq2__v0,EPS_>=2,DEBTRATIO_>=0.55,C8_FCF_MOM_riseq2,v0,0.06108875172924755,74.15,-0.3585569149096888,0.5531914893617021,-0.09599903381444552
ROE_5_10__FCF_P_>=0.05__C8_FCF_MOM_riseq2__v0,ROE_5_10,FCF_P_>=0.05,C8_FCF_MOM_riseq2,v0,0.06090452349161435,99.01,-0.4737363726461845,0.631578947368421,0.18112340880345723
EPS_>=2__FCF_P_<0__C8_FCF_MOM_riseq2__v0,EPS_>=2,FCF_P_<0,C8_FCF_MOM_riseq2,v0,0.060890682776699734,100.17,-0.17342032916706618,0.7142857142857143,0.0
DEBTRATIO_0_0.35__None__C3_ROE_SEQ_yoy__v0,DEBTRATIO_0_0.35,None,C3_ROE_SEQ_yoy,v0,0.06074169835524357,81.38,-0.39527725211378295,0.5610079575596817,-0.051232748355750646
FCF_P_0_0.05__ROE_10_15__C3_ROE_SEQ_yoy__v1,FCF_P_0_0.05,ROE_10_15,C3_ROE_SEQ_yoy,v1,0.06070822909152951,67.1,-0.20610286111202536,0.5490196078431373,-0.1175974596717656
ROE_>=20__FCF_P_0_0.05__C5_REVENUE_GROWTH_yoy__v0,ROE_>=20,FCF_P_0_0.05,C5_REVENUE_GROWTH_yoy,v0,0.06059095968431372,89.96,-0.47779405061740754,0.5769230769230769,0.16391644433714037
EPS_0_2__FCF_P_>=0.05__C3_ROE_SEQ_yoy__v1,EPS_0_2,FCF_P_>=0.05,C3_ROE_SEQ_yoy,v1,0.06029008010788317,86.02,-0.16085743916182293,0.7272727272727273,0.0
EPS_>=2__None__C5_REVENUE_GROWTH_yoy__v0,EPS_>=2,None,C5_REVENUE_GROWTH_yoy,v0,0.06017055321871534,75.74,-0.36818841778183853,0.5779927448609432,0.17645498745640187
EPS_>=2__ROE_10_15__C1_ROE_SEQ_qmax4__v0,EPS_>=2,ROE_10_15,C1_ROE_SEQ_qmax4,v0,0.06003972416768577,82.26,-0.3327774636953881,0.5590062111801242,0.18027995664698637
FCF_P_>=0.05__DEBTRATIO_>=0.55__C5_REVENUE_GROWTH_yoy__v0,FCF_P_>=0.05,DEBTRATIO_>=0.55,C5_REVENUE_GROWTH_yoy,v0,0.05990712469651438,65.8,-0.23280159521435673,0.6428571428571429,0.0
ROE_>=20__DEBTRATIO_0.35_0.55__C8_FCF_MOM_riseq2__v1,ROE_>=20,DEBTRATIO_0.35_0.55,C8_FCF_MOM_riseq2,v1,0.059904690703848074,113.88,-0.0874847316855184,0.6363636363636364,0.12308451152682331
DEBTRATIO_0_0.35__ROE_>=20__C8_FCF_MOM_riseq2__v0,DEBTRATIO_0_0.35,ROE_>=20,C8_FCF_MOM_riseq2,v0,0.059571724789500013,129.04,-0.2322488756446799,0.6666666666666666,0.1871689660785969
ROE_10_15__EPS_>=2__None__v0,ROE_10_15,EPS_>=2,None,v0,0.05943869245052125,86.19,-0.3195444103531725,0.5723905723905723,0.1831940020983882
ROE_10_15__DEBTRATIO_0.35_0.55__C4_REVENUE_GROWTH_qmax5__v1,ROE_10_15,DEBTRATIO_0.35_0.55,C4_REVENUE_GROWTH_qmax5,v1,0.059404251970974764,75.61,-0.3715327499730732,0.4965986394557823,0.06626010805123306
DEBTRATIO_0.35_0.55__EPS_<0__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,DEBTRATIO_0.35_0.55,EPS_<0,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.059214663575202664,73.83,-0.2696981702660015,0.5348837209302325,0.011062141359129196
DEBTRATIO_0.35_0.55__ROE_15_20__C8_FCF_MOM_riseq2__v1,DEBTRATIO_0.35_0.55,ROE_15_20,C8_FCF_MOM_riseq2,v1,0.05900288369578455,108.9,-0.08743193528646032,0.6666666666666666,0.0
ROE_10_15__EPS_>=2__C4_REVENUE_GROWTH_qmax5__v0,ROE_10_15,EPS_>=2,C4_REVENUE_GROWTH_qmax5,v0,0.05890397281051296,85.36,-0.331864638953976,0.56,0.1898359251022379
EPS_>=2__FCF_P_0_0.05__C8_FCF_MOM_riseq2__v0,EPS_>=2,FCF_P_0_0.05,C8_FCF_MOM_riseq2,v0,0.05886695001866449,107.22,-0.420805366061767,0.5626911314984709,-0.028969214849693392
FCF_P_>=0.05__ROE_10_15__C5_REVENUE_GROWTH_yoy__v0,FCF_P_>=0.05,ROE_10_15,C5_REVENUE_GROWTH_yoy,v0,0.05869648388557436,86.61,-0.30062826200976434,0.5,0.0
EPS_>=2__None__C6_EPS_QOQ_yoy__v0,EPS_>=2,None,C6_EPS_QOQ_yoy,v0,0.058206607476379624,74.95,-0.3968871374258556,0.5889781859931114,0.1170653912422619
