strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio,ytd
FCF_P_0_0.05__None__C1_ROE_SEQ_qmax4__v1,FCF_P_0_0.05,None,C1_ROE_SEQ_qmax4,v1,0.14994065288681613,45.1,-0.37274168356924975,0.559106529209622,0.14240800080880045
EPS_0_2__FCF_P_0_0.05__C1_ROE_SEQ_qmax4__v1,EPS_0_2,FCF_P_0_0.05,C1_ROE_SEQ_qmax4,v1,0.14992027710920697,46.8,-0.367227810706365,0.5605552896122546,0.18210538154552514
FCF_P_0_0.05__None__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_0_0.05,None,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.14989729559736809,60.38,-0.34910398917232977,0.594488188976378,0.12411390557872548
ROE_5_10__EPS_0_2__C5_REVENUE_GROWTH_yoy__v0,ROE_5_10,EPS_0_2,C5_REVENUE_GROWTH_yoy,v0,0.14985698225556288,50.93,-0.4365027998109392,0.5705882352941176,-0.13816515917190242
ROE_<5__DEBTRATIO_0_0.35__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,ROE_<5,DEBTRATIO_0_0.35,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.14946085212181903,60.04,-0.40812437493912945,0.588334742180896,0.151942490524132
ROE_5_10__DEBTRATIO_0_0.35__C1_ROE_SEQ_qmax4__v1,ROE_5_10,DEBTRATIO_0_0.35,C1_ROE_SEQ_qmax4,v1,0.14938539991249722,42.41,-0.34439770587030205,0.5292439372325249,0.027409749588238164
EPS_0_2__FCF_P_<0__C1_ROE_SEQ_qmax4__v0,EPS_0_2,FCF_P_<0,C1_ROE_SEQ_qmax4,v0,0.1493346368134041,46.92,-0.41391786545491094,0.6055182699478001,0.13398472583636378
DEBTRATIO_0_0.35__None__C1_ROE_SEQ_qmax4__v1,DEBTRATIO_0_0.35,None,C1_ROE_SEQ_qmax4,v1,0.1493270775676816,41.64,-0.3947471179219223,0.5637007077856421,0.10299898499809301
ROE_5_10__FCF_P_0_0.05__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,ROE_5_10,FCF_P_0_0.05,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.1490144984032864,55.13,-0.34934819961239494,0.5630914826498423,0.11036862211150056
FCF_P_<0__EPS_0_2__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_<0,EPS_0_2,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.1489981884547753,63.22,-0.4322254014932362,0.5731272294887039,0.1834656731542863
DEBTRATIO_0_0.35__FCF_P_<0__C4_REVENUE_GROWTH_qmax5__v0,DEBTRATIO_0_0.35,FCF_P_<0,C4_REVENUE_GROWTH_qmax5,v0,0.14867195737774574,42.69,-0.44969693629793106,0.565425023877746,0.11329662737414847
DEBTRATIO_0_0.35__ROE_5_10__C4_REVENUE_GROWTH_qmax5__v1,DEBTRATIO_0_0.35,ROE_5_10,C4_REVENUE_GROWTH_qmax5,v1,0.14855891670515975,43.03,-0.34640665923175207,0.525035765379113,0.03469391784196674
FCF_P_>=0.05__ROE_5_10__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,FCF_P_>=0.05,ROE_5_10,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.1485522156464476,60.42,-0.28348600561670667,0.5348837209302325,0.22203658116849545
EPS_>=2__DEBTRATIO_0.35_0.55__C4_REVENUE_GROWTH_qmax5__v1,EPS_>=2,DEBTRATIO_0.35_0.55,C4_REVENUE_GROWTH_qmax5,v1,0.14851184490515124,44.25,-0.35659739685970593,0.5412541254125413,0.3366400173097974
EPS_>=2__DEBTRATIO_>=0.55__C1_ROE_SEQ_qmax4__v0,EPS_>=2,DEBTRATIO_>=0.55,C1_ROE_SEQ_qmax4,v0,0.1483799971118238,46.93,-0.33669438068899726,0.5704697986577181,0.08054885274542412
FCF_P_<0__DEBTRATIO_0_0.35__None__v0,FCF_P_<0,DEBTRATIO_0_0.35,None,v0,0.14829130980583716,43.11,-0.44518029416959515,0.5643863179074446,0.11570426417945323
ROE_<5__DEBTRATIO_0_0.35__C4_REVENUE_GROWTH_qmax5__v1,ROE_<5,DEBTRATIO_0_0.35,C4_REVENUE_GROWTH_qmax5,v1,0.14815580565355346,41.98,-0.4278677146313238,0.5659259259259259,0.12975312962293284
DEBTRATIO_0_0.35__ROE_10_15__None__v0,DEBTRATIO_0_0.35,ROE_10_15,None,v0,0.1479311742209919,40.99,-0.40699144493490924,0.5927051671732523,0.1638215329952899
FCF_P_0_0.05__None__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,FCF_P_0_0.05,None,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.14785374006336371,59.83,-0.34825787365490124,0.5727571115973742,0.1524533899214109
ROE_<5__None__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,ROE_<5,None,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.14779521110584848,61.22,-0.38207748060273106,0.6025445292620865,0.14795755498510466
FCF_P_<0__DEBTRATIO_0.35_0.55__None__v0,FCF_P_<0,DEBTRATIO_0.35_0.55,None,v0,0.14777579244318573,46.7,-0.3975472476781823,0.6529516994633273,0.09873492555040198
ROE_>=20__EPS_>=2__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,ROE_>=20,EPS_>=2,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.14710287165898528,63.2,-0.35855591947080967,0.5560747663551402,0.20862790754824334
FCF_P_<0__ROE_>=20__C1_ROE_SEQ_qmax4__v1,FCF_P_<0,ROE_>=20,C1_ROE_SEQ_qmax4,v1,0.14692469190812507,31.82,-0.3094615992959735,0.7,0.13461706480048585
FCF_P_0_0.05__EPS_<0__C3_ROE_SEQ_yoy__v0,FCF_P_0_0.05,EPS_<0,C3_ROE_SEQ_yoy,v0,0.14650808774305557,47.23,-0.24133602082185845,0.627906976744186,0.17516549288486405
ROE_<5__DEBTRATIO_>=0.55__C1_ROE_SEQ_qmax4__v1,ROE_<5,DEBTRATIO_>=0.55,C1_ROE_SEQ_qmax4,v1,0.14605025229976243,47.49,-0.39645927143012505,0.5726141078838174,0.14561619134165293
ROE_10_15__None__C1_ROE_SEQ_qmax4__v0,ROE_10_15,None,C1_ROE_SEQ_qmax4,v0,0.14577151756714168,44.0,-0.36306244586235537,0.574792243767313,0.15277182142651125
ROE_5_10__DEBTRATIO_0_0.35__None__v1,ROE_5_10,DEBTRATIO_0_0.35,None,v1,0.14564208959118274,43.3,-0.3530272288769528,0.5322338830584707,0.04448922033123215
FCF_P_<0__DEBTRATIO_0_0.35__C1_ROE_SEQ_qmax4__v0,FCF_P_<0,DEBTRATIO_0_0.35,C1_ROE_SEQ_qmax4,v0,0.1455468479851727,43.85,-0.4599792289274992,0.5626794258373206,0.10782763455185318
ROE_<5__DEBTRATIO_>=0.55__None__v1,ROE_<5,DEBTRATIO_>=0.55,None,v1,0.1451536520885952,46.63,-0.4044188688527043,0.6026785714285714,0.13508040203210836
EPS_0_2__FCF_P_<0__None__v0,EPS_0_2,FCF_P_<0,None,v0,0.14510942473110933,47.73,-0.41828608211209417,0.6022099447513812,0.1322735710405838
ROE_<5__FCF_P_0_0.05__C4_REVENUE_GROWTH_qmax5__v0,ROE_<5,FCF_P_0_0.05,C4_REVENUE_GROWTH_qmax5,v0,0.1445152587134153,48.29,-0.3904825827019879,0.5784962991819245,0.14044009593801587
FCF_P_0_0.05__DEBTRATIO_0.35_0.55__C5_REVENUE_GROWTH_yoy__v0,FCF_P_0_0.05,DEBTRATIO_0.35_0.55,C5_REVENUE_GROWTH_yoy,v0,0.14441466564549588,59.7,-0.4228553751218097,0.5944309927360775,0.22005545338138477
FCF_P_>=0.05__ROE_<5__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_>=0.05,ROE_<5,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.14439961205792207,61.15,-0.47825506699309395,0.6118421052631579,0.3302055602656264
DEBTRATIO_0_0.35__ROE_<5__C1_ROE_SEQ_qmax4__v1,DEBTRATIO_0_0.35,ROE_<5,C1_ROE_SEQ_qmax4,v1,0.14439953592374288,43.02,-0.4227784139309323,0.5658572479764533,0.12540595695606527
ROE_10_15__None__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,ROE_10_15,None,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.1441839647876817,61.79,-0.37205409892812513,0.5754385964912281,0.16334229420550916
ROE_10_15__None__C4_REVENUE_GROWTH_qmax5__v0,ROE_10_15,None,C4_REVENUE_GROWTH_qmax5,v0,0.1441531130559015,44.71,-0.37108462985430324,0.5692520775623269,0.1544603027492053
FCF_P_0_0.05__ROE_<5__None__v0,FCF_P_0_0.05,ROE_<5,None,v0,0.1440355188417486,48.26,-0.3908144813253204,0.5751243781094527,0.13278624556446328
ROE_10_15__FCF_P_0_0.05__C1_ROE_SEQ_qmax4__v0,ROE_10_15,FCF_P_0_0.05,C1_ROE_SEQ_qmax4,v0,0.1439356631391917,43.44,-0.3399814006386631,0.5740432612312812,0.15452669775837147
EPS_0_2__ROE_10_15__C4_REVENUE_GROWTH_qmax5__v1,EPS_0_2,ROE_10_15,C4_REVENUE_GROWTH_qmax5,v1,0.1438989972298954,41.35,-0.38156147727244283,0.578125,0.1375216768292522
EPS_>=2__ROE_<5__None__v1,EPS_>=2,ROE_<5,None,v1,0.14376162290422623,43.9,-0.4388121027814187,0.5889423076923077,0.10150333000883638
EPS_0_2__ROE_5_10__C8_FCF_MOM_riseq2__v0,EPS_0_2,ROE_5_10,C8_FCF_MOM_riseq2,v0,0.143741117918327,43.97,-0.3315704722533521,0.587378640776699,-0.0510814656975519
FCF_P_<0__DEBTRATIO_0_0.35__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_<0,DEBTRATIO_0_0.35,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.14317112016377287,60.49,-0.4630742711544714,0.5564648117839607,0.16107007173826027
ROE_10_15__FCF_P_0_0.05__C4_REVENUE_GROWTH_qmax5__v0,ROE_10_15,FCF_P_0_0.05,C4_REVENUE_GROWTH_qmax5,v0,0.1431113539410107,44.05,-0.35123073669826543,0.5614617940199336,0.1581128863026957
DEBTRATIO_>=0.55__EPS_0_2__C6_EPS_QOQ_yoy__v0,DEBTRATIO_>=0.55,EPS_0_2,C6_EPS_QOQ_yoy,v0,0.14290339272088826,47.67,-0.4286285630640204,0.6229508196721312,0.015158224436168766
DEBTRATIO_>=0.55__EPS_0_2__C5_REVENUE_GROWTH_yoy__v1,DEBTRATIO_>=0.55,EPS_0_2,C5_REVENUE_GROWTH_yoy,v1,0.1428686234918013,45.68,-0.17211218056016142,0.6052631578947368,-0.08942896760414898
FCF_P_0_0.05__ROE_<5__C1_ROE_SEQ_qmax4__v0,FCF_P_0_0.05,ROE_<5,C1_ROE_SEQ_qmax4,v0,0.14278966276782667,48.71,-0.38792209749040285,0.5782133433848473,0.14314804611884036
FCF_P_<0__EPS_0_2__C4_REVENUE_GROWTH_qmax5__v0,FCF_P_<0,EPS_0_2,C4_REVENUE_GROWTH_qmax5,v0,0.1419667573132115,48.48,-0.40480653126202115,0.6052044609665428,0.12617903821433107
EPS_0_2__FCF_P_>=0.05__C4_REVENUE_GROWTH_qmax5__v0,EPS_0_2,FCF_P_>=0.05,C4_REVENUE_GROWTH_qmax5,v0,0.1418840320669168,38.58,-0.48755310978511024,0.6034063260340633,0.08306524152873607
ROE_10_15__None__None__v0,ROE_10_15,None,None,v0,0.14186666867047926,45.29,-0.3708211978151088,0.5802098950524738,0.15156171995553347
EPS_>=2__ROE_<5__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,EPS_>=2,ROE_<5,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.14179277952291924,60.27,-0.3720420052266713,0.6114649681528662,0.13143308199132675
EPS_<0__ROE_>=20__None__v1,EPS_<0,ROE_>=20,None,v1,0.1416002078075178,40.65,-0.23071397787674197,0.75,0.09359583455558806
EPS_<0__ROE_>=20__C1_ROE_SEQ_qmax4__v1,EPS_<0,ROE_>=20,C1_ROE_SEQ_qmax4,v1,0.1416002078075178,40.65,-0.23071397787674197,0.75,0.09359583455558806
ROE_5_10__DEBTRATIO_>=0.55__C2_ROE_SEQ_riseq1__v0,ROE_5_10,DEBTRATIO_>=0.55,C2_ROE_SEQ_riseq1,v0,0.14138703620956528,69.95,-0.40272028536371873,0.6470588235294118,0.5389254645507942
FCF_P_0_0.05__None__C3_ROE_SEQ_yoy__v1,FCF_P_0_0.05,None,C3_ROE_SEQ_yoy,v1,0.14122566039575357,47.95,-0.42916480245254807,0.5629139072847682,-0.19489199847734084
ROE_<5__EPS_0_2__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,ROE_<5,EPS_0_2,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.1410909294251772,64.63,-0.3894821895963233,0.5922848664688427,0.14677785266272192
DEBTRATIO_0.35_0.55__EPS_>=2__C1_ROE_SEQ_qmax4__v1,DEBTRATIO_0.35_0.55,EPS_>=2,C1_ROE_SEQ_qmax4,v1,0.1406626620960345,43.96,-0.4554614733501271,0.5290322580645161,0.34503879778844193
FCF_P_0_0.05__ROE_10_15__None__v0,FCF_P_0_0.05,ROE_10_15,None,v0,0.14061008662716445,44.73,-0.3500530156478918,0.5753176043557169,0.15278383240432025
DEBTRATIO_>=0.55__None__C2_ROE_SEQ_riseq1__v0,DEBTRATIO_>=0.55,None,C2_ROE_SEQ_riseq1,v0,0.14053586698382214,48.31,-0.4207146376817499,0.6,0.11367235062786141
EPS_0_2__DEBTRATIO_>=0.55__C2_ROE_SEQ_riseq1__v0,EPS_0_2,DEBTRATIO_>=0.55,C2_ROE_SEQ_riseq1,v0,0.1404322187467646,65.78,-0.40272028536371896,0.6551724137931034,0.29864131752289924
FCF_P_0_0.05__EPS_<0__C6_EPS_QOQ_yoy__v0,FCF_P_0_0.05,EPS_<0,C6_EPS_QOQ_yoy,v0,0.1395900620702999,52.38,-0.34903325929950346,0.6410256410256411,0.17516549288486383
ROE_<5__EPS_>=2__C1_ROE_SEQ_qmax4__v1,ROE_<5,EPS_>=2,C1_ROE_SEQ_qmax4,v1,0.13939753181590886,44.91,-0.44307003760390895,0.5783410138248848,0.07181146458294063
ROE_<5__None__None__v1,ROE_<5,None,None,v1,0.13933355016360305,48.01,-0.4011567722130861,0.5824716888232397,0.13657980770760259
ROE_15_20__EPS_0_2__C3_ROE_SEQ_yoy__v0,ROE_15_20,EPS_0_2,C3_ROE_SEQ_yoy,v0,0.13929231802154174,42.48,-0.24108337138808034,0.6170212765957447,-0.062334415061637394
DEBTRATIO_0_0.35__ROE_<5__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,DEBTRATIO_0_0.35,ROE_<5,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.13901426162097819,62.35,-0.42403872784609087,0.5732814526588845,0.1841943141569109
EPS_>=2__DEBTRATIO_>=0.55__C5_REVENUE_GROWTH_yoy__v0,EPS_>=2,DEBTRATIO_>=0.55,C5_REVENUE_GROWTH_yoy,v0,0.13836018735605893,47.85,-0.3183983753473467,0.5894736842105263,0.142945162975052
ROE_5_10__EPS_0_2__C6_EPS_QOQ_yoy__v0,ROE_5_10,EPS_0_2,C6_EPS_QOQ_yoy,v0,0.13824219641567304,56.27,-0.4402038703451051,0.5661157024793388,-0.014177122420889421
ROE_>=20__FCF_P_<0__C4_REVENUE_GROWTH_qmax5__v1,ROE_>=20,FCF_P_<0,C4_REVENUE_GROWTH_qmax5,v1,0.1381670211355892,33.37,-0.32934241194811675,0.65,0.13461706480048585
ROE_10_15__FCF_P_0_0.05__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,ROE_10_15,FCF_P_0_0.05,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.13815939901977892,66.88,-0.3605666336044512,0.563169164882227,0.17475899904417558
FCF_P_<0__EPS_>=2__C4_REVENUE_GROWTH_qmax5__v0,FCF_P_<0,EPS_>=2,C4_REVENUE_GROWTH_qmax5,v0,0.13809421172724523,40.28,-0.4243095123210624,0.5674157303370787,0.026909425524309416
ROE_<5__None__C1_ROE_SEQ_qmax4__v1,ROE_<5,None,C1_ROE_SEQ_qmax4,v1,0.13804374110383488,48.58,-0.4046313027998396,0.5725259828287392,0.14335879507507365
EPS_<0__ROE_>=20__C4_REVENUE_GROWTH_qmax5__v1,EPS_<0,ROE_>=20,C4_REVENUE_GROWTH_qmax5,v1,0.13751683727871855,41.43,-0.23071397787674164,0.6666666666666666,0.09359583455558762
EPS_0_2__ROE_10_15__C1_ROE_SEQ_qmax4__v1,EPS_0_2,ROE_10_15,C1_ROE_SEQ_qmax4,v1,0.13741767463591859,41.99,-0.3815614772724426,0.5759162303664922,0.13752393258121387
ROE_<5__EPS_0_2__None__v0,ROE_<5,EPS_0_2,None,v0,0.13726794564963463,49.69,-0.39755931228072416,0.58726549175668,0.13879285266596386
EPS_0_2__ROE_10_15__None__v1,EPS_0_2,ROE_10_15,None,v1,0.13724997600880284,43.09,-0.3815614772724427,0.5729166666666666,0.13752931601950547
EPS_>=2__None__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,EPS_>=2,None,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.13709909768645168,55.23,-0.39773613121613105,0.5618556701030928,0.09237458062924575
ROE_<5__None__C4_REVENUE_GROWTH_qmax5__v1,ROE_<5,None,C4_REVENUE_GROWTH_qmax5,v1,0.13708064384083563,48.83,-0.40692152791953795,0.5740909090909091,0.14410878235642977
DEBTRATIO_0.35_0.55__None__C1_ROE_SEQ_qmax4__v0,DEBTRATIO_0.35_0.55,None,C1_ROE_SEQ_qmax4,v0,0.1370792363440987,50.72,-0.3827216633030287,0.6160458452722063,0.1247439090105491
FCF_P_0_0.05__ROE_<5__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_0_0.05,ROE_<5,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.13689128724493949,67.53,-0.3598635532781921,0.583013698630137,0.1222541328216058
ROE_5_10__None__C3_ROE_SEQ_yoy__v1,ROE_5_10,None,C3_ROE_SEQ_yoy,v1,0.13685846524278156,52.08,-0.43564097788516354,0.5128205128205128,0.014569720411040876
DEBTRATIO_0.35_0.55__EPS_>=2__None__v1,DEBTRATIO_0.35_0.55,EPS_>=2,None,v1,0.13677430115463296,44.25,-0.45546146751219607,0.5517241379310345,0.33664001730979765
ROE_15_20__EPS_0_2__C6_EPS_QOQ_yoy__v0,ROE_15_20,EPS_0_2,C6_EPS_QOQ_yoy,v0,0.13665210277285866,43.8,-0.29751169097264096,0.62,-0.06233441506163695
ROE_<5__EPS_>=2__C4_REVENUE_GROWTH_qmax5__v1,ROE_<5,EPS_>=2,C4_REVENUE_GROWTH_qmax5,v1,0.13646322321145266,45.84,-0.443133370173577,0.5957943925233645,0.07486612306232288
EPS_0_2__ROE_<5__C1_ROE_SEQ_qmax4__v0,EPS_0_2,ROE_<5,C1_ROE_SEQ_qmax4,v0,0.13641486090424815,50.22,-0.3943737132156604,0.5814814814814815,0.14886620721528532
DEBTRATIO_>=0.55__None__C6_EPS_QOQ_yoy__v1,DEBTRATIO_>=0.55,None,C6_EPS_QOQ_yoy,v1,0.13618427793753773,41.83,-0.37018680669770276,0.6031746031746031,-0.07915647527440606
DEBTRATIO_0.35_0.55__None__None__v0,DEBTRATIO_0.35_0.55,None,None,v0,0.1361813300300707,50.8,-0.39190665371437394,0.7006651884700665,0.12127499439036349
DEBTRATIO_0.35_0.55__None__C5_REVENUE_GROWTH_yoy__v1,DEBTRATIO_0.35_0.55,None,C5_REVENUE_GROWTH_yoy,v1,0.13613591682266768,45.69,-0.33511456781831594,0.6153846153846154,0.030698543829075664
FCF_P_0_0.05__None__C2_ROE_SEQ_riseq1__v1,FCF_P_0_0.05,None,C2_ROE_SEQ_riseq1,v1,0.1360303582712652,44.08,-0.3431106834135601,0.5234375,-0.097666374795778
DEBTRATIO_0.35_0.55__None__C4_REVENUE_GROWTH_qmax5__v0,DEBTRATIO_0.35_0.55,None,C4_REVENUE_GROWTH_qmax5,v0,0.13593077277652932,51.47,-0.38150741699012225,0.6230314960629921,0.12442328534061531
EPS_0_2__ROE_<5__C4_REVENUE_GROWTH_qmax5__v0,EPS_0_2,ROE_<5,C4_REVENUE_GROWTH_qmax5,v0,0.13577132617448617,50.4,-0.39335038534231037,0.5819256756756757,0.14545607443877517
FCF_P_0_0.05__ROE_<5__C4_REVENUE_GROWTH_qmax5__v1,FCF_P_0_0.05,ROE_<5,C4_REVENUE_GROWTH_qmax5,v1,0.13533104476019964,51.52,-0.3827064128580482,0.5612535612535613,0.1694565758113482
ROE_<5__EPS_>=2__None__v0,ROE_<5,EPS_>=2,None,v0,0.13496427659610455,46.51,-0.4095957199293798,0.6066252587991718,0.15103476788345893
FCF_P_0_0.05__DEBTRATIO_>=0.55__C6_EPS_QOQ_yoy__v0,FCF_P_0_0.05,DEBTRATIO_>=0.55,C6_EPS_QOQ_yoy,v0,0.13493783658676883,53.28,-0.42802955006449384,0.5975103734439834,0.02888177249398316
DEBTRATIO_>=0.55__FCF_P_0_0.05__C6_EPS_QOQ_yoy__v1,DEBTRATIO_>=0.55,FCF_P_0_0.05,C6_EPS_QOQ_yoy,v1,0.13474769628589356,43.84,-0.29489113990338445,0.5925925925925926,-0.09870781731151024
FCF_P_0_0.05__ROE_10_15__C4_REVENUE_GROWTH_qmax5__v1,FCF_P_0_0.05,ROE_10_15,C4_REVENUE_GROWTH_qmax5,v1,0.13448175233111104,44.65,-0.35999596893758634,0.5469798657718121,0.05370051727224601
ROE_5_10__EPS_0_2__C2_ROE_SEQ_riseq1__v0,ROE_5_10,EPS_0_2,C2_ROE_SEQ_riseq1,v0,0.13433460324379842,58.59,-0.4065254882151904,0.5725190839694656,0.24252271202321696
EPS_0_2__FCF_P_0_0.05__C6_EPS_QOQ_yoy__v1,EPS_0_2,FCF_P_0_0.05,C6_EPS_QOQ_yoy,v1,0.1342089882138351,43.36,-0.38168229159877776,0.5633333333333334,-0.2231139403539446
FCF_P_>=0.05__None__C3_ROE_SEQ_yoy__v0,FCF_P_>=0.05,None,C3_ROE_SEQ_yoy,v0,0.13383185468184178,52.78,-0.39922615288783414,0.5877862595419847,0.08865358916276622
ROE_10_15__FCF_P_0_0.05__None__v1,ROE_10_15,FCF_P_0_0.05,None,v1,0.1337533377235791,44.59,-0.35999596893758623,0.5544217687074829,0.041162231903204116
ROE_<5__EPS_>=2__C4_REVENUE_GROWTH_qmax5__v0,ROE_<5,EPS_>=2,C4_REVENUE_GROWTH_qmax5,v0,0.1337462380652552,46.7,-0.4099265143508497,0.6020583190394511,0.14874143311255872
DEBTRATIO_0.35_0.55__ROE_5_10__None__v1,DEBTRATIO_0.35_0.55,ROE_5_10,None,v1,0.1336060415081295,50.63,-0.40204237536124865,0.5760517799352751,0.18291648297844376
FCF_P_0_0.05__ROE_5_10__C6_EPS_QOQ_yoy__v1,FCF_P_0_0.05,ROE_5_10,C6_EPS_QOQ_yoy,v1,0.13352544766059915,46.96,-0.4474443738432634,0.5100671140939598,0.005300783078573623
DEBTRATIO_0.35_0.55__ROE_<5__C1_ROE_SEQ_qmax4__v0,DEBTRATIO_0.35_0.55,ROE_<5,C1_ROE_SEQ_qmax4,v0,0.13327486899901442,53.59,-0.3929628587081735,0.6144200626959248,0.15188583238196762
FCF_P_0_0.05__ROE_10_15__C1_ROE_SEQ_qmax4__v1,FCF_P_0_0.05,ROE_10_15,C1_ROE_SEQ_qmax4,v1,0.1329215571962623,43.89,-0.35999596893758623,0.5533333333333333,0.03162979320143089
FCF_P_>=0.05__ROE_<5__None__v0,FCF_P_>=0.05,ROE_<5,None,v0,0.13287748590494108,47.33,-0.4769850795780328,0.5914634146341463,0.21187075435190406
EPS_>=2__FCF_P_>=0.05__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,EPS_>=2,FCF_P_>=0.05,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.13278932337083105,49.49,-0.546280115475042,0.5384615384615384,0.1269939338645727
ROE_10_15__FCF_P_<0__C1_ROE_SEQ_qmax4__v0,ROE_10_15,FCF_P_<0,C1_ROE_SEQ_qmax4,v0,0.13233229699354498,39.94,-0.6448926966666182,0.5192307692307693,0.08137889594753744
ROE_<5__FCF_P_0_0.05__C1_ROE_SEQ_qmax4__v1,ROE_<5,FCF_P_0_0.05,C1_ROE_SEQ_qmax4,v1,0.1318140172386395,52.36,-0.3852460576620603,0.5551782682512734,0.16907227390332324
ROE_15_20__FCF_P_<0__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,ROE_15_20,FCF_P_<0,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.13159609303150477,54.44,-0.31188183991908003,0.5161290322580645,0.1745491229154601
FCF_P_0_0.05__ROE_<5__None__v1,FCF_P_0_0.05,ROE_<5,None,v1,0.13155304660898448,52.05,-0.3841446930890118,0.5625,0.1550494107996636
FCF_P_>=0.05__DEBTRATIO_0_0.35__None__v1,FCF_P_>=0.05,DEBTRATIO_0_0.35,None,v1,0.13134432324836554,35.4,-0.5780024294113386,0.5698529411764706,0.01017386006372445
DEBTRATIO_0.35_0.55__EPS_0_2__None__v0,DEBTRATIO_0.35_0.55,EPS_0_2,None,v0,0.13129661102358092,52.59,-0.38033280376217515,0.6210790464240903,0.08869182668507225
ROE_<5__EPS_>=2__C1_ROE_SEQ_qmax4__v0,ROE_<5,EPS_>=2,C1_ROE_SEQ_qmax4,v0,0.13128777817679915,47.52,-0.4078807133030792,0.5877342419080068,0.14920268297401162
DEBTRATIO_0.35_0.55__EPS_0_2__C1_ROE_SEQ_qmax4__v0,DEBTRATIO_0.35_0.55,EPS_0_2,C1_ROE_SEQ_qmax4,v0,0.13122806205201076,52.81,-0.3748262265014414,0.6015490533562823,0.09174888582388041
EPS_>=2__DEBTRATIO_0.35_0.55__C3_ROE_SEQ_yoy__v0,EPS_>=2,DEBTRATIO_0.35_0.55,C3_ROE_SEQ_yoy,v0,0.1310415123796682,48.17,-0.4573429505982992,0.6211453744493393,0.22340145280283674
DEBTRATIO_0.35_0.55__ROE_5_10__C1_ROE_SEQ_qmax4__v1,DEBTRATIO_0.35_0.55,ROE_5_10,C1_ROE_SEQ_qmax4,v1,0.13084689656007242,52.62,-0.4020423753747858,0.5678233438485805,0.1942138076329858
ROE_<5__DEBTRATIO_0.35_0.55__None__v0,ROE_<5,DEBTRATIO_0.35_0.55,None,v0,0.1305999863492986,54.13,-0.40667915810959765,0.6487730061349694,0.1428891328426365
DEBTRATIO_0.35_0.55__None__C4_REVENUE_GROWTH_qmax5__v1,DEBTRATIO_0.35_0.55,None,C4_REVENUE_GROWTH_qmax5,v1,0.13058486055909113,57.66,-0.36960306256006303,0.5828970331588132,0.19608645796401625
ROE_<5__DEBTRATIO_0.35_0.55__C4_REVENUE_GROWTH_qmax5__v0,ROE_<5,DEBTRATIO_0.35_0.55,C4_REVENUE_GROWTH_qmax5,v0,0.1304907532359707,54.69,-0.3947005181590957,0.611353711790393,0.146479053602103
DEBTRATIO_>=0.55__None__C6_EPS_QOQ_yoy__v0,DEBTRATIO_>=0.55,None,C6_EPS_QOQ_yoy,v0,0.13033952600063015,51.08,-0.3922998227197674,0.5960264900662252,0.056825036812474305
