strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
P_IC_qb0of3__DEBTRATIO_qb0of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__DEBTRATIO_qb0of3,C12_EPS_DYN_yoy,0.2786544902453769,0.20424156536402682,0.0744129248813501,-0.5824941324742879,0.5286195286195287,13.81,26.412
MOM_qb2of3__REV_G_qb1of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__REV_G_qb1of3,C4_ROE_DYN_qmax8,0.2780622601945395,0.14444966839878215,0.13361259179575735,-0.53144176306158,0.5719026548672567,12.7,26.682403433476395
P_IC_qb0of3__DEBTRATIO_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,P_IC_qb0of3__DEBTRATIO_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.2779156658361579,0.20424156536402682,0.07367410047213108,-0.528857338191306,0.543918918918919,11.84,21.92280701754386
P_IC_qb0of3__DEBTRATIO_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,P_IC_qb0of3__DEBTRATIO_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.27688105422904563,0.20424156536402682,0.07263948886501881,-0.5456950119765526,0.536046511627907,11.73,21.431578947368422
P_IC_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__PS_qb0of3,C4_ROE_DYN_qmax8,0.27583980668930264,0.19078211269583956,0.08505769399346308,-0.5009044732434006,0.5231716147719044,13.37,46.94849785407725
MOM_qb2of3__ACCRUAL_qb0of3__C10_EPS_DYN_qmax4__v0,MOM_qb2of3__ACCRUAL_qb0of3,C10_EPS_DYN_qmax4,0.2747336686239239,0.15505270527372694,0.11968096335019696,-0.6120444446007206,0.5218076720966894,13.76,50.13358778625954
PS_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,PS_qb0of3__REVENUE_qb0of3,C9_EPS_DYN_riseq2,0.27461022395984047,0.2095689024040155,0.06504132155582498,-0.4142110772574006,0.49606815203145477,11.26,30.576642335766422
PS_qb0of3__REVENUE_qb0of3__C2_ROE_DYN_riseq2__v0,PS_qb0of3__REVENUE_qb0of3,C2_ROE_DYN_riseq2,0.27443485369823284,0.2095689024040155,0.06486595129421735,-0.47351768227089797,0.502998001332445,11.34,29.912408759124087
EV_S_qb0of3__REVENUE_qb0of3__C2_ROE_DYN_riseq2__v0,EV_S_qb0of3__REVENUE_qb0of3,C2_ROE_DYN_riseq2,0.2741133729257941,0.2016024825109346,0.07251089041485947,-0.42579723901366373,0.5321428571428571,11.08,38.77007299270073
P_IC_qb0of3__REVENUE_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,P_IC_qb0of3__REVENUE_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.27391919749122984,0.24055303039082032,0.033366167100409516,-0.5150489218829928,0.5154241645244216,11.5,40.45263157894737
