strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
EPS_qb0of3__NETDEBT_EBITDA_qb0of3__C18_FCF_P_DYN_qmax8__v0,EPS_qb0of3__NETDEBT_EBITDA_qb0of3,C18_FCF_P_DYN_qmax8,0.4981880515272985,0.31056905164413084,0.18761899988316766,-0.5682389463285495,0.5189333333333334,10.6,23.003424657534246
REVENUE_qb0of3__PS_qb0of3__C15_FCF_P_DYN_riseq1__v0,REVENUE_qb0of3__PS_qb0of3,C15_FCF_P_DYN_riseq1,0.49345244486436246,0.4926633903879303,0.0007890544764321827,-0.5518494219175027,0.5542922114837976,8.49,46.64193548387097
REVENUE_qb0of3__ACCRUAL_qb0of3__C12_EPS_DYN_yoy__v0,REVENUE_qb0of3__ACCRUAL_qb0of3,C12_EPS_DYN_yoy,0.4930205664723959,0.37528684649749056,0.11773371997490534,-0.4004991444882443,0.5107950651130911,9.56,85.45182724252491
REVENUE_qb0of3__PS_qb0of3__None__v0,REVENUE_qb0of3__PS_qb0of3,None,0.4926633903879303,0.4926633903879303,0.0,-0.5109285687264109,0.6351059230436662,8.01,93.84294871794872
EPS_qb0of3__CROIC_qb2of3__C5_ROE_DYN_yoy__v0,EPS_qb0of3__CROIC_qb2of3,C5_ROE_DYN_yoy,0.49131320540183676,0.365422915691191,0.12589028971064575,-0.5250232792967311,0.5556711758584808,10.43,45.50666666666667
EPS_qb0of3__ROE_qb2of3__C8_EPS_DYN_riseq1__v0,EPS_qb0of3__ROE_qb2of3,C8_EPS_DYN_riseq1,0.4910504852464874,0.4057823182103599,0.0852681670361275,-0.5031611697930323,0.5133570792520036,7.51,30.498381877022652
EPS_qb0of3__REV_G_qb2of3__C18_FCF_P_DYN_qmax8__v0,EPS_qb0of3__REV_G_qb2of3,C18_FCF_P_DYN_qmax8,0.4890297870306115,0.29579754666773894,0.19323224036287256,-0.6138835970375817,0.522615315718764,10.31,27.28965517241379
EPS_qb0of3__ROE_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,EPS_qb0of3__ROE_qb2of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.48624605906728946,0.4057823182103599,0.08046374085692953,-0.455935703698087,0.5342706502636204,7.69,33.5
REVENUE_qb0of3__PS_qb0of3__C3_ROE_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C3_ROE_DYN_qmax4,0.48603477549399976,0.4926633903879303,-0.006628614893930518,-0.4550525370950691,0.5853018372703412,7.45,23.960264900662253
REVENUE_qb0of3__EV_S_qb0of3__C9_EPS_DYN_riseq2__v0,REVENUE_qb0of3__EV_S_qb0of3,C9_EPS_DYN_riseq2,0.48581089756111373,0.4025223578951269,0.08328853966598682,-0.5519592925026868,0.5851063829787234,8.54,62.13636363636363
EPS_qb0of3__ACCRUAL_qb0of3__C18_FCF_P_DYN_qmax8__v0,EPS_qb0of3__ACCRUAL_qb0of3,C18_FCF_P_DYN_qmax8,0.48539143381100236,0.3282891840419029,0.15710224976909948,-0.5384799043430912,0.5320526205888495,11.0,54.657534246575345
P_IC_qb0of3__ROE_qb0of3__C11_EPS_DYN_qmax8__v0,P_IC_qb0of3__ROE_qb0of3,C11_EPS_DYN_qmax8,0.48323917435147745,0.2625520467793778,0.22068712757209963,-0.8069446960362396,0.5937106918238994,5.42,10.544827586206896
REVENUE_qb0of3__OCF_E_qb2of3__C16_FCF_P_DYN_riseq2__v0,REVENUE_qb0of3__OCF_E_qb2of3,C16_FCF_P_DYN_riseq2,0.4824023564201574,0.43006434076627365,0.05233801565388374,-0.37996751875469226,0.5421869726628417,11.34,74.71428571428571
REVENUE_qb0of3__EV_S_qb0of3__C2_ROE_DYN_riseq2__v0,REVENUE_qb0of3__EV_S_qb0of3,C2_ROE_DYN_riseq2,0.4794556245340562,0.4025223578951269,0.0769332666389293,-0.5516288278490195,0.5784557907845579,9.33,57.76298701298701
REVENUE_qb0of3__PS_qb0of3__C19_FCF_P_DYN_yoy__v0,REVENUE_qb0of3__PS_qb0of3,C19_FCF_P_DYN_yoy,0.4794252391098721,0.4926633903879303,-0.013238151278058163,-0.5627388333150414,0.5824135393671818,8.99,46.17666666666667
EPS_qb0of3__ROE_qb2of3__C12_EPS_DYN_yoy__v0,EPS_qb0of3__ROE_qb2of3,C12_EPS_DYN_yoy,0.4791227820717552,0.4057823182103599,0.07334046386139526,-0.41924447181921387,0.5225225225225225,7.9,33.63666666666666
REVENUE_qb0of3__ACCRUAL_qb0of3__C18_FCF_P_DYN_qmax8__v0,REVENUE_qb0of3__ACCRUAL_qb0of3,C18_FCF_P_DYN_qmax8,0.47757877676034033,0.37528684649749056,0.10229193026284977,-0.4780221533212272,0.5154394299287411,10.77,39.71917808219178
EPS_qb0of3__ROE_qb2of3__C9_EPS_DYN_riseq2__v0,EPS_qb0of3__ROE_qb2of3,C9_EPS_DYN_riseq2,0.4756015882902933,0.4057823182103599,0.06981927007993338,-0.5366233824684841,0.5148514851485149,8.09,31.725490196078432
REVENUE_qb0of3__CROIC_qb2of3__C18_FCF_P_DYN_qmax8__v0,REVENUE_qb0of3__CROIC_qb2of3,C18_FCF_P_DYN_qmax8,0.47508516800710887,0.35625906470038715,0.11882610330672172,-0.49773221478950247,0.5452638937434463,11.02,32.06506849315068
EV_EBITDA_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,EV_EBITDA_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.47461384832643816,0.28195399216973605,0.19265985615670211,-0.5905848887222481,0.515986769570011,8.7,29.72852233676976
EPS_qb0of3__CROIC_qb2of3__C12_EPS_DYN_yoy__v0,EPS_qb0of3__CROIC_qb2of3,C12_EPS_DYN_yoy,0.4745746318786441,0.365422915691191,0.10915171618745312,-0.4997332512941366,0.5516633064516129,10.25,48.50333333333333
REVENUE_qb0of3__PS_qb0of3__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__PS_qb0of3,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,0.4744932174732164,0.4926633903879303,-0.0181701729147139,-0.5542709628028556,0.5813148788927336,8.97,46.196666666666665
REVENUE_qb0of3__PS_qb0of3__C1_ROE_DYN_riseq1__v0,REVENUE_qb0of3__PS_qb0of3,C1_ROE_DYN_riseq1,0.47300254397480757,0.4926633903879303,-0.019660846413122712,-0.4867286709162024,0.5754172989377845,7.32,46.487096774193546
REVENUE_qb0of3__EPS_qb0of3__C18_FCF_P_DYN_qmax8__v0,REVENUE_qb0of3__EPS_qb0of3,C18_FCF_P_DYN_qmax8,0.47213755606788554,0.31523671988063273,0.1569008361872528,-0.5006953710299111,0.49244505494505497,10.31,38.35616438356164
VOL_qb2of3__PB_qb0of3__C12_EPS_DYN_yoy__v0,VOL_qb2of3__PB_qb0of3,C12_EPS_DYN_yoy,0.4698837482836855,0.3829958502301678,0.08688789805351771,-0.5947175184268423,0.5602324485629024,8.4,99.15562913907284
REVENUE_qb0of3__ACCRUAL_qb0of3__C5_ROE_DYN_yoy__v0,REVENUE_qb0of3__ACCRUAL_qb0of3,C5_ROE_DYN_yoy,0.46985509909918055,0.37528684649749056,0.09456825260169,-0.5060931681251133,0.5075069508804448,9.9,75.09634551495017
EPS_qb0of3__CROIC_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,EPS_qb0of3__CROIC_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.468563216153721,0.365422915691191,0.10314030046252998,-0.45938632378574007,0.5566195834330859,10.51,53.223333333333336
VOL_qb2of3__PB_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,VOL_qb2of3__PB_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.4666604923223232,0.3829958502301678,0.0836646420921554,-0.5668585038966516,0.5700968744288064,8.61,99.58666666666667
VOL_qb2of3__PB_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,VOL_qb2of3__PB_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.46526920313870757,0.3829958502301678,0.08227335290853977,-0.5739132575973734,0.57098653076083,8.86,101.05666666666667
