strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
VOL_qb2of3__CROIC_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,VOL_qb2of3__CROIC_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.48613972815231477,0.32339951452437266,0.1627402136279421,-0.38813472004241356,0.5117252931323283,38.43,240.13888888888889
VOL_qb2of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,VOL_qb2of3__PS_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.48535443532608125,0.3433534555412179,0.14200097978486337,-0.29907829713770395,0.5269086357947435,36.84,139.97222222222223
VOL_qb2of3__FCF_P_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,VOL_qb2of3__FCF_P_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.4849785569883174,0.32617392728256056,0.15880462970575682,-0.38606734491941086,0.5354131534569984,38.39,240.13888888888889
VOL_qb2of3__FCF_OI_qb0of3__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,VOL_qb2of3__FCF_OI_qb0of3,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,0.4848056482123815,0.31381289478356145,0.17099275342882003,-0.33609907113647897,0.5085085085085085,44.05,166.08333333333334
VOL_qb2of3__EV_S_qb0of3__C9_EPS_DYN_riseq2__v0,VOL_qb2of3__EV_S_qb0of3,C9_EPS_DYN_riseq2,0.4845587246893719,0.39391074614637867,0.09064797854299322,-0.30362162369271006,0.5353218210361067,35.09,144.51162790697674
VOL_qb2of3__P_IC_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,VOL_qb2of3__P_IC_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.4806003225176678,0.4151214551971951,0.0654788673204727,-0.326219983467121,0.5553997194950911,41.92,113.88888888888889
VOL_qb2of3__EV_EBITDA_qb0of3__C18_FCF_P_DYN_qmax8__v0,VOL_qb2of3__EV_EBITDA_qb0of3,C18_FCF_P_DYN_qmax8,0.47956670251805056,0.3802593207379903,0.09930738178006027,-0.3640776699029128,0.4846846846846847,51.23,73.82758620689656
VOL_qb2of3__CROIC_qb0of3__C3_ROE_DYN_qmax4__v0,VOL_qb2of3__CROIC_qb0of3,C3_ROE_DYN_qmax4,0.4791282946139157,0.32339951452437266,0.15572878008954305,-0.33813846460473995,0.5202020202020202,36.19,90.92682926829268
VOL_qb2of3__EV_S_qb0of3__C1_ROE_DYN_riseq1__v0,VOL_qb2of3__EV_S_qb0of3,C1_ROE_DYN_riseq1,0.4785064560447492,0.39391074614637867,0.08459570989837051,-0.2986864973240745,0.5283641160949868,31.09,132.2888888888889
VOL_qb2of3__MOM_qb0of3__C17_FCF_P_DYN_qmax4__v0,VOL_qb2of3__MOM_qb0of3,C17_FCF_P_DYN_qmax4,0.4781690011970072,0.35078379250611724,0.12738520869088998,-0.28419548744112266,0.5160984848484849,42.59,87.15384615384616
