因子桶,單獨,單獨持股,小型,小型持股,中型,中型持股,大型,大型持股,小型超額,中大型最佳,中大型超額,規模落差,判定
FCF_OI_qb1,0.1571723025719216,599.4294871794872,0.25067005419993804,,0.14351514712688518,,0.11663850212552074,,0.1271524920205649,0.14351514712688518,0.019997584947512026,0.10715490707305286,⚠️ 勉強（中大型僅小贏基準）
EV_S_qb1,0.1615394213063195,579.2403846153846,0.25634397165158207,,0.1419990747475508,,0.11574329084924462,,0.13282640947220892,0.1419990747475508,0.01848151256817765,0.11434489690403127,⚠️ 勉強（中大型僅小贏基準）
P_IC_qb1,0.1726226873417213,587.974358974359,0.2585691909237091,,0.1419872148680439,,0.11311685057792786,,0.13505162874433596,0.1419872148680439,0.018469652688670735,0.11658197605566523,⚠️ 勉強（中大型僅小贏基準）
EV_EBITDA_qb1,0.1487294682252893,586.8910256410256,0.21188172138398298,,0.14128219691422017,,0.11366882789364485,,0.08836415920460983,0.14128219691422017,0.017764634734847018,0.07059952446976281,⚠️ 勉強（中大型僅小贏基準）
MOM_qb0,0.1930076162562337,589.5512820512821,0.31117053335076195,,0.13911333347339983,,0.10037598939521986,,0.1876529711713888,0.13911333347339983,0.015595771294026672,0.17205719987736212,⚠️ 勉強（中大型僅小贏基準）
REV_G_qb2,0.197448584199321,588.6987179487179,0.27808821535772377,,0.13871032262330107,,0.10633814431655875,,0.15457065317835061,0.13871032262330107,0.015192760443927922,0.1393778927344227,⚠️ 勉強（中大型僅小贏基準）
EPS_qb1,0.1538763296811611,589.349358974359,0.20328858998032184,,0.13713643836258949,,0.12221322599475437,,0.07977102780094869,0.13713643836258949,0.013618876183216333,0.06615215161773236,⚠️ 勉強（中大型僅小贏基準）
PS_qb1,0.1487724905372673,579.2371794871794,0.20443596911114925,,0.13657780820232723,,0.11330388025916505,,0.0809184069317761,0.13657780820232723,0.01306024602295408,0.06785816090882202,⚠️ 勉強（中大型僅小贏基準）
VOL_qb1,0.1388474317126491,583.4294871794872,0.1893081387930351,,0.1365703602552173,,0.10525199031718802,,0.06579057661366194,0.1365703602552173,0.013052798075844141,0.0527377785378178,⚠️ 勉強（中大型僅小贏基準）
NETDEBT_EBITDA_qb0,0.216130590957474,574.9807692307693,0.2789586684491121,,0.13569190755503957,,0.10898041318918095,,0.15544110626973895,0.13569190755503957,0.012174345375666418,0.14326676089407253,⚠️ 勉強（中大型僅小贏基準）
FCF_OI_qb2,0.1936248436128342,599.7724358974359,0.25668240835934664,,0.1349907981933669,,0.1149356631750098,,0.13316484617997348,0.1349907981933669,0.011473236013993748,0.12169161016597974,⚠️ 勉強（中大型僅小贏基準）
NETDEBT_EBITDA_qb2,0.1627319193611311,575.650641025641,0.2601454642404393,,0.13490980078733505,,0.09663318229007678,,0.13662790206106612,0.13490980078733505,0.011392238607961902,0.12523566345310422,⚠️ 勉強（中大型僅小贏基準）
REVENUE_qb1,0.1555425319936541,589.5608974358975,0.26011331371353297,,0.1344734101282632,,0.09710069971798774,,0.13659575153415981,0.1344734101282632,0.01095584794889004,0.12563990358526977,⚠️ 勉強（中大型僅小贏基準）
PB_qb2,0.1366685026616441,588.3653846153846,0.2321011450619872,,0.13440290219954765,,0.10398267386146332,,0.10858358288261405,0.13440290219954765,0.010885340020174494,0.09769824286243955,⚠️ 勉強（中大型僅小贏基準）
