market,company_symbol,sector_name,industry_name,type
US,OSBC,Financial Services,Banks - Regional,
US,OSCR,Healthcare,Healthcare Plans,
US,OSG,Financial Services,Insurance - Specialty,
US,OSIS,Technology,Electronic Components,
US,OSK,Industrials,Farm & Heavy Construction Machinery,
US,OSPN,Technology,Software - Infrastructure,
US,OSS,Technology,Computer Hardware,
US,OSUR,Healthcare,Medical Instruments & Supplies,
US,OSW,Consumer Cyclical,Leisure,
US,OTIS,Industrials,Specialty Industrial Machinery,
US,OTTR,Industrials,Conglomerates,
US,OUST,Technology,Electronic Components,
US,OUT,Real Estate,REIT - Specialty,
US,OVBC,Financial Services,Banks - Regional,
US,OVID,Healthcare,Biotechnology,
US,OVLY,Financial Services,Banks - Regional,
US,OVV,Energy,Oil & Gas E&P,
US,OWL,Financial Services,Asset Management,
US,OXM,Consumer Cyclical,Apparel Manufacturing,
US,OXY,Energy,Oil & Gas E&P,
US,OZK,Financial Services,Banks - Regional,
US,P,Technology,Computer Hardware,
US,PACB,Healthcare,Medical Devices,
US,PACK,Consumer Cyclical,Packaging & Containers,
US,PACS,Healthcare,Medical Care Facilities,
US,PAG,Consumer Cyclical,Auto & Truck Dealerships,
US,PAGS,Technology,Software - Infrastructure,
US,PAHC,Healthcare,Drug Manufacturers - Specialty & Generic,
US,PAL,Industrials,Integrated Freight & Logistics,
US,PALI,Healthcare,Biotechnology,
US,PAMT,Industrials,Trucking,
US,PANL,Industrials,Marine Shipping,
US,PANW,Technology,Software - Infrastructure,
US,PAR,Technology,Software - Application,
US,PARR,Energy,Oil & Gas Refining & Marketing,
US,PATH,Technology,Software - Infrastructure,
US,PATK,Consumer Cyclical,Recreational Vehicles,
US,PAX,Financial Services,Asset Management,
US,PAY,Technology,Software - Infrastructure,
US,PAYC,Technology,Software - Application,
US,PAYO,Technology,Software - Infrastructure,
US,PAYS,Technology,Software - Infrastructure,
US,PAYX,Technology,Software - Application,
US,PB,Financial Services,Banks - Regional,
US,PBF,Energy,Oil & Gas Refining & Marketing,
US,PBFS,Financial Services,Banks - Regional,
US,PBH,Healthcare,Drug Manufacturers - Specialty & Generic,
US,PBI,Industrials,Integrated Freight & Logistics,
US,PBYI,Healthcare,Biotechnology,
US,PCAR,Industrials,Farm & Heavy Construction Machinery,
US,PCB,Financial Services,Banks - Regional,
US,PCG,Utilities,Utilities - Regulated Electric,
US,PCOR,Technology,Software - Application,
US,PCRX,Healthcare,Drug Manufacturers - Specialty & Generic,
US,PCT,Industrials,Pollution & Treatment Controls,
US,PCTY,Technology,Software - Application,
US,PCVX,Healthcare,Biotechnology,
US,PCYO,Utilities,Utilities - Regulated Water,
US,PD,Technology,Software - Application,
US,PDEX,Healthcare,Medical Instruments & Supplies,
US,PDFS,Technology,Software - Application,
US,PDLB,Financial Services,Banks - Regional,
US,PDM,Real Estate,REIT - Office,
US,PDYN,Technology,Software - Infrastructure,
US,PEB,Real Estate,REIT - Hotel & Motel,
US,PEBK,Financial Services,Banks - Regional,
US,PEBO,Financial Services,Banks - Regional,
US,PECO,Real Estate,REIT - Retail,
US,PED,Energy,Oil & Gas E&P,
US,PEG,Utilities,Utilities - Regulated Electric,
US,PEGA,Technology,Software - Application,
US,PEN,Healthcare,Medical Devices,
US,PENG,Technology,Information Technology Services,
US,PENN,Consumer Cyclical,Resorts & Casinos,
US,PEP,Consumer Defensive,Beverages - Non-Alcoholic,
US,PESI,Industrials,Waste Management,
US,PFBC,Financial Services,Banks - Regional,
US,PFE,Healthcare,Drug Manufacturers - General,
US,PFG,Financial Services,Asset Management,
US,PFGC,Consumer Defensive,Food Distribution,
US,PFIS,Financial Services,Banks - Regional,
US,PFS,Financial Services,Banks - Regional,
US,PFSI,Financial Services,Mortgage Finance,
US,PG,Consumer Defensive,Household & Personal Products,
US,PGC,Financial Services,Banks - Regional,
US,PGEN,Healthcare,Biotechnology,
US,PGNY,Healthcare,Healthcare Plans,
US,PGR,Financial Services,Insurance - Property & Casualty,
US,PH,Industrials,Specialty Industrial Machinery,
US,PHAT,Healthcare,Biotechnology,
US,PHIN,Consumer Cyclical,Auto Parts,
US,PHM,Consumer Cyclical,Residential Construction,
US,PHR,Healthcare,Health Information Services,
US,PI,Technology,Semiconductors,
US,PII,Consumer Cyclical,Recreational Vehicles,
US,PINE,Real Estate,REIT - Retail,
US,PINS,Communication Services,Internet Content & Information,
US,PIPR,Financial Services,Capital Markets,
US,PJT,Financial Services,Capital Markets,
US,PK,Real Estate,REIT - Hotel & Motel,
US,PKBK,Financial Services,Banks - Regional,
US,PKE,Industrials,Aerospace & Defense,
US,PKG,Consumer Cyclical,Packaging & Containers,
US,PKOH,Industrials,Specialty Industrial Machinery,
US,PL,Industrials,Aerospace & Defense,
US,PLAB,Technology,Semiconductor Equipment & Materials,
US,PLAY,Communication Services,Entertainment,
US,PLBC,Financial Services,Banks - Regional,
US,PLBY,Consumer Cyclical,Apparel Manufacturing,
US,PLD,Real Estate,REIT - Industrial,
US,PLGO,Financial Services,Insurance - Diversified,
US,PLMR,Financial Services,Insurance - Property & Casualty,
US,PLNT,Consumer Cyclical,Leisure,
US,PLOW,Consumer Cyclical,Auto Parts,
US,PLPC,Industrials,Electrical Equipment & Parts,
US,PLSE,Healthcare,Medical Instruments & Supplies,
US,PLTK,Communication Services,Electronic Gaming & Multimedia,
US,PLTR,Technology,Software - Infrastructure,
US,PLUG,Industrials,Electrical Equipment & Parts,
US,PLUS,Technology,Software - Application,
US,PLX,Healthcare,Biotechnology,
US,PLXS,Technology,Electronic Components,
US,PM,Consumer Defensive,Tobacco,
US,PMT,Real Estate,REIT - Mortgage,
US,PMTS,Financial Services,Credit Services,
US,PNC,Financial Services,Banks - Regional,
US,PNFP,Financial Services,Banks - Regional,
US,PNR,Industrials,Specialty Industrial Machinery,
US,PNRG,Energy,Oil & Gas E&P,
US,PNTG,Healthcare,Medical Care Facilities,
US,PNW,Utilities,Utilities - Regulated Electric,
US,PODD,Healthcare,Medical Devices,
US,POOL,Industrials,Industrial Distribution,
US,POR,Utilities,Utilities - Regulated Electric,
US,POST,Consumer Defensive,Packaged Foods,
US,POWI,Technology,Semiconductors,
US,POWL,Industrials,Electrical Equipment & Parts,
US,POWW,Industrials,Aerospace & Defense,
US,PPC,Consumer Defensive,Packaged Foods,
US,PPG,Basic Materials,Specialty Chemicals,
US,PPHC,Industrials,Consulting Services,
US,PPIH,Industrials,Building Products & Equipment,
US,PPL,Utilities,Utilities - Regulated Electric,
US,PPLI,Communication Services,Internet Content & Information,
US,PPTA,Basic Materials,Other Precious Metals & Mining,
US,PR,Energy,Oil & Gas E&P,
US,PRAA,Financial Services,Credit Services,
US,PRAX,Healthcare,Biotechnology,
US,PRCH,Financial Services,Insurance - Property & Casualty,
US,PRCT,Healthcare,Medical Devices,
US,PRDO,Consumer Defensive,Education & Training Services,
US,PRG,Industrials,Rental & Leasing Services,
US,PRGO,Healthcare,Drug Manufacturers - Specialty & Generic,
US,PRGS,Technology,Software - Infrastructure,
US,PRI,Financial Services,Insurance - Life,
US,PRIM,Industrials,Engineering & Construction,
US,PRK,Financial Services,Banks - Regional,
US,PRKS,Consumer Cyclical,Leisure,
US,PRLB,Industrials,Metal Fabrication,
US,PRLD,Healthcare,Biotechnology,
US,PRM,Basic Materials,Specialty Chemicals,
US,PRMB,Consumer Defensive,Beverages - Non-Alcoholic,
US,PRME,Healthcare,Biotechnology,
US,PROK,Healthcare,Biotechnology,
US,PRSU,Consumer Cyclical,Travel Services,
US,PRTA,Healthcare,Biotechnology,
US,PRTH,Technology,Software - Infrastructure,
US,PRU,Financial Services,Insurance - Life,
US,PRVA,Healthcare,Health Information Services,
US,PSA,Real Estate,REIT - Industrial,
US,PSFE,Technology,Software - Infrastructure,
US,PSIX,Industrials,Specialty Industrial Machinery,
US,PSMT,Consumer Defensive,Discount Stores,
US,PSN,Technology,Information Technology Services,
US,PSNL,Healthcare,Diagnostics & Research,
US,PSTL,Real Estate,REIT - Office,
US,PSX,Energy,Oil & Gas Refining & Marketing,
US,PTC,Technology,Software - Application,
US,PTCT,Healthcare,Biotechnology,
US,PTEN,Energy,Oil & Gas Drilling,
US,PTGX,Healthcare,Biotechnology,
US,PTLO,Consumer Cyclical,Restaurants,
US,PTON,Consumer Cyclical,Leisure,
US,PTRN,Consumer Cyclical,Internet Retail,
US,PUBM,Technology,Software - Application,
US,PUMP,Energy,Oil & Gas Equipment & Services,
US,PURR,Financial Services,Capital Markets,
US,PVH,Consumer Cyclical,Apparel Manufacturing,
US,PVLA,Healthcare,Biotechnology,
US,PWP,Financial Services,Capital Markets,
US,PWR,Industrials,Engineering & Construction,
US,PXED,Consumer Defensive,Education & Training Services,
US,PYPL,Financial Services,Credit Services,
US,PZZA,Consumer Cyclical,Restaurants,
US,Q,Technology,Semiconductor Equipment & Materials,
US,QBTS,Technology,Computer Hardware,
