strategy_uid,market,F1_factor,CAGR,max_drawdown,calmar,selects_tsmc
TW::PS_qb0of3__None__C11_EPS_DYN_qmax8__v1,TW,PS,0.2593954060483689,-0.348049864583823,0.7452823070583242,False
TW::PS_qb0of3__EV_EBITDA_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,TW,PS,0.2591163296726606,-0.5867207562440143,0.44163484402944037,False
TW::EV_S_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2590201510961216,-0.6541343129909716,0.3959739551221136,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,TW,P_IC,0.2587495190737263,-0.6012147134414283,0.4303778887788884,False
TW::OCF_E_qb2of3__FCF_P_qb0of3__C4_ROE_DYN_qmax8__v0,TW,OCF_E,0.2587141816690304,-0.4255024863670219,0.6080203758101511,False
TW::PS_qb0of3__OCF_E_qb1of3__C11_EPS_DYN_qmax8__v0,TW,PS,0.2585806038063827,-0.5501883856793397,0.46998557319072237,False
TW::P_IC_qb0of3__ROIC_qb2of3__C12_EPS_DYN_yoy__v0,TW,P_IC,0.2585435239276699,-0.4762716374673433,0.5428488778011635,False
TW::PS_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,TW,PS,0.2585159418406686,-0.3899927637772625,0.6628736885700666,False
TW::PB_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,TW,PB,0.2581306265574667,-0.5049106836265467,0.5112401755958704,False
TW::PS_qb0of3__EV_EBITDA_qb0of3__C5_ROE_DYN_yoy__v1,TW,PS,0.2580458979281959,-0.584467236417241,0.4415061817836123,False
TW::EV_S_qb0of3__FCF_OI_qb1of3__C10_EPS_DYN_qmax4__v1,TW,EV_S,0.257983744585909,-0.3847953153655655,0.6704440888029465,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW,P_IC,0.2570509799542966,-0.5216049252799158,0.49280780816314557,False
TW::P_IC_qb0of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2566416139595826,-0.5230431887611334,0.4906700239562575,False
TW::EV_S_qb0of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2564188994430614,-0.4853663300416371,0.5282997265613059,False
TW::P_IC_qb0of3__None__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2561935389563989,-0.5375868389846039,0.47656214843409905,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,TW,MOM,0.2560143475190841,-0.5453659215812348,0.4694359097040675,False
TW::PS_qb0of3__DEBTRATIO_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PS,0.2559755257743055,-0.4993814939286457,0.5125851255731168,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C5_ROE_DYN_yoy__v1,TW,MOM,0.2558838224600295,-0.4912892762424907,0.520841457027306,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C12_EPS_DYN_yoy__v1,TW,MOM,0.2552966214804508,-0.5044533683902312,0.5060856711000498,False
TW::P_IC_qb0of3__EV_EBITDA_qb0of3__C12_EPS_DYN_yoy__v0,TW,P_IC,0.2549345879499778,-0.4690350974959799,0.543529875079685,False
TW::MOM_qb2of3__EPS_qb2of3__C11_EPS_DYN_qmax8__v1,TW,MOM,0.2547219150522168,-0.4201337449790445,0.6062876836158968,True
TW::MOM_qb2of3__ROIC_qb2of3__C4_ROE_DYN_qmax8__v1,TW,MOM,0.2539217236759525,-0.3659779237544311,0.693817050687277,False
TW::PB_qb0of3__ROIC_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2538231599830827,-0.4427725078456987,0.5732586271402769,False
TW::EV_S_qb0of3__ROIC_qb2of3__C19_FCF_P_DYN_yoy__v1,TW,EV_S,0.2537479246132565,-0.6160406720700786,0.4119012528192149,False
TW::P_IC_qb0of3__ROE_qb2of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2535645677198894,-0.4386563899211195,0.5780482709153881,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,TW,MOM,0.2534430796162756,-0.5568244132202775,0.45515798804607105,False
TW::MOM_qb2of3__EPS_qb2of3__C4_ROE_DYN_qmax8__v1,TW,MOM,0.2530384153920724,-0.3272028357038362,0.7733380881243559,False
TW::MOM_qb2of3__OCF_E_qb2of3__C10_EPS_DYN_qmax4__v0,TW,MOM,0.2519074986031107,-0.6959809996798272,0.36194594208605685,True
TW::PB_qb0of3__EV_EBITDA_qb0of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2515083045541233,-0.4880763586382053,0.5153052388275131,False
TW::PB_qb0of3__VOL_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2514641786837694,-0.6328620762739667,0.3973443631893504,False
TW::P_IC_qb0of3__EV_EBITDA_qb0of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2512571998118484,-0.5018976899822647,0.500614377844072,False
TW::PS_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PS,0.2512052861264482,-0.4175883625114752,0.6015619894568905,False
TW::EV_S_qb1of3__VOL_qb2of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2511367602226164,-0.6692642072605737,0.37524307664766227,False
TW::MOM_qb2of3__VOL_qb0of3__C10_EPS_DYN_qmax4__v1,TW,MOM,0.2507216167681507,-0.2855789288397027,0.8779415826889747,True
TW::OCF_E_qb2of3__FCF_P_qb2of3__C5_ROE_DYN_yoy__v1,TW,OCF_E,0.2506186519929168,-0.5868885456632302,0.42702938035653426,False
TW::P_IC_qb0of3__PB_qb0of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2505659101986475,-0.5503829493863504,0.4552573993762271,False
TW::PS_qb0of3__EV_EBITDA_qb0of3__C12_EPS_DYN_yoy__v0,TW,PS,0.2503326119429216,-0.4196698946462398,0.5964988557350275,False
TW::MOM_qb2of3__FCF_P_qb0of3__C2_ROE_DYN_riseq2__v1,TW,MOM,0.2499264796885068,-0.5932750469061,0.4212657872463388,False
TW::P_IC_qb0of3__ROE_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,P_IC,0.2495111064597615,-0.4251607556603336,0.5868629762693787,False
TW::PB_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2490214189565063,-0.6083771792568269,0.409320775740968,False
TW::PB_qb0of3__None__C4_ROE_DYN_qmax8__v0,TW,PB,0.2486862755468086,-0.5261077616838463,0.47269075588406073,False
TW::PS_qb0of3__REVENUE_qb1of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,TW,PS,0.2482506566999793,-0.5130603824055718,0.4838624559862007,False
TW::PB_qb0of3__FCF_P_qb1of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2480905242404889,-0.6893917368882927,0.35986872334776604,False
TW::PS_qb0of3__REVENUE_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,PS,0.2479112720706759,-0.4709752289299102,0.5263785796844311,False
TW::P_IC_qb0of3__EV_EBITDA_qb0of3__C5_ROE_DYN_yoy__v0,TW,P_IC,0.2478998912076266,-0.4693798549594552,0.5281434398777938,False
TW::P_IC_qb1of3__CROIC_qb1of3__C11_EPS_DYN_qmax8__v0,TW,P_IC,0.2477806829861844,-0.3664900225661676,0.676091210481587,False
TW::P_IC_qb0of3__VOL_qb2of3__C3_ROE_DYN_qmax4__v0,TW,P_IC,0.247611828137152,-0.6417896253961332,0.38581463198991106,False
TW::PS_qb0of3__REVENUE_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,PS,0.2476026096134729,-0.4659908310993227,0.5313465267746826,False
TW::P_IC_qb0of3__EPS_qb2of3__C5_ROE_DYN_yoy__v0,TW,P_IC,0.2475131581334624,-0.4294666743986645,0.5763268092455094,False
TW::EV_S_qb1of3__OCF_E_qb1of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2473242738199887,-0.6068211518246054,0.40757358749992106,False
TW::MOM_qb2of3__EV_EBITDA_qb0of3__C4_ROE_DYN_qmax8__v0,TW,MOM,0.2466950628102595,-0.6161573137139942,0.40037675009205453,False
TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,TW,PB,0.2463120966301684,-0.3661882380832441,0.6726379250176115,False
TW::PB_qb0of3__REVENUE_qb1of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2457744578452592,-0.5729945946066477,0.4289298017095252,False
TW::MOM_qb2of3__EV_EBITDA_qb0of3__C10_EPS_DYN_qmax4__v1,TW,MOM,0.2453210353313333,-0.3936099556375577,0.6232592235477621,False
TW::P_IC_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.245106624209763,-0.5701430603431904,0.4299037228695271,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,EV_S,0.2449150445294714,-0.3807993873823401,0.6431602902857757,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C2_ROE_DYN_riseq2__v0,TW,P_IC,0.2448029261233177,-0.5663563916503682,0.43224183523374654,False
TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2447610736938816,-0.5190879064298657,0.471521433387413,False
TW::MOM_qb2of3__ROE_qb2of3__C4_ROE_DYN_qmax8__v0,TW,MOM,0.2445893982089795,-0.6249684910609263,0.39136276741531795,False
TW::MOM_qb2of3__DEBTRATIO_qb2of3__C4_ROE_DYN_qmax8__v0,TW,MOM,0.2445610166562402,-0.6110206223341123,0.4002500205672465,False
TW::PB_qb0of3__ROE_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.244405029605444,-0.4565546095827408,0.5353248537536687,False
TW::P_IC_qb0of3__VOL_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,P_IC,0.2443485931548858,-0.6001755908872062,0.4071285084981195,False
TW::MOM_qb2of3__OCF_E_qb1of3__C4_ROE_DYN_qmax8__v0,TW,MOM,0.244218627856426,-0.5755291642797666,0.42433753667730817,False
TW::PB_qb0of3__FCF_OI_qb1of3__C11_EPS_DYN_qmax8__v0,TW,PB,0.2440048194286666,-0.5322949670523325,0.45840151519726335,False
TW::MOM_qb2of3__NETDEBT_EBITDA_qb0of3__C5_ROE_DYN_yoy__v1,TW,MOM,0.2439598456983878,-0.5506269867126081,0.4430582800797578,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C8_EPS_DYN_riseq1__v0,TW,EV_S,0.2438546165934498,-0.4444401891886711,0.548678140558369,False
TW::P_IC_qb0of3__ROE_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,P_IC,0.2438280833347013,-0.4337451495281469,0.5621459596722905,False
TW::P_IC_qb0of3__ROIC_qb2of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2435266567838889,-0.4250658207849516,0.5729151695475732,False
TW::PS_qb0of3__EV_S_qb0of3__C4_ROE_DYN_qmax8__v0,TW,PS,0.2434437591686054,-0.4624147039628056,0.526461976841002,False
