window_no,is_start,is_end,oos_start,oos_end,variant,target_total,n_members,v1_frac,avg_holdings,frac_top10pct_mktcap,is_cagr,is_mdd,is_sharpe,oos_cagr,oos_mdd,oos_sharpe
3,2011-01,2016-12,2017-01,2018-12,holdings_ge30,30,30,0.16666666666666666,45.07334604488848,0.08743169398907104,0.185602918946131,-0.1546885793034959,1.2102275784419159,0.16190285013417882,-0.12731435838351512,1.368975830251252
3,2011-01,2016-12,2017-01,2018-12,exclude_v1,30,30,0.0,35.83825911402493,0.10085836909871244,0.2300454645069845,-0.14397107088054717,1.2558052450532393,0.16348340192829758,-0.12945002586769794,1.3906943694232623
3,2011-01,2016-12,2017-01,2018-12,cagr_gt_bench,30,30,0.3,30.02743803934834,0.10930232558139535,0.22751390633598945,-0.14110439634817318,1.3143334717602695,0.1645189256624644,-0.1351187273529355,1.3443724753079902
3,2011-01,2016-12,2017-01,2018-12,combo_best,30,30,0.16666666666666666,45.07334604488848,0.08743169398907104,0.185602918946131,-0.1546885793034959,1.2102275784419159,0.16190285013417882,-0.12731435838351512,1.368975830251252
4,2013-01,2018-12,2019-01,2020-12,baseline,30,30,0.43333333333333335,24.71036276143269,0.09852216748768473,0.24920146027033963,-0.12118464862744582,1.978366272592865,0.33576369372934933,-0.2047747544323707,1.6454199870175295
4,2013-01,2018-12,2019-01,2020-12,holdings_ge10,30,30,0.43333333333333335,24.71036276143269,0.09852216748768473,0.24920146027033963,-0.12118464862744582,1.978366272592865,0.33576369372934933,-0.2047747544323707,1.6454199870175295
4,2013-01,2018-12,2019-01,2020-12,holdings_ge30,30,30,0.3333333333333333,45.77205696474133,0.11485148514851486,0.19538662705685317,-0.1362089299014675,1.7076299042871983,0.30024702435962736,-0.19810770422247803,1.5626816565116353
4,2013-01,2018-12,2019-01,2020-12,exclude_v1,30,30,0.0,35.293585734624834,0.10565110565110565,0.23285856566511232,-0.11695389790777166,1.9112640148348,0.3384515663971568,-0.17971135462304388,1.7578297361876518
4,2013-01,2018-12,2019-01,2020-12,cagr_gt_bench,30,30,0.43333333333333335,24.71036276143269,0.09852216748768473,0.24920146027033963,-0.12118464862744582,1.978366272592865,0.33576369372934933,-0.2047747544323707,1.6454199870175295
4,2013-01,2018-12,2019-01,2020-12,combo_best,30,30,0.26666666666666666,47.898016430070236,0.10546139359698682,0.20341063618765465,-0.13216430723734118,1.7595769467881825,0.30821998377519,-0.19633432884089985,1.588396566993357
5,2015-01,2020-12,2021-01,2022-12,baseline,30,30,0.43333333333333335,20.4681964717506,0.11564625850340136,0.2633208390599784,-0.15041211293372614,1.6777544240217976,0.20768936081787404,-0.14307299123062223,0.9750397448906487
5,2015-01,2020-12,2021-01,2022-12,holdings_ge10,30,30,0.43333333333333335,20.4681964717506,0.11564625850340136,0.2633208390599784,-0.15041211293372614,1.6777544240217976,0.20768936081787404,-0.14307299123062223,0.9750397448906487
5,2015-01,2020-12,2021-01,2022-12,holdings_ge30,30,30,0.23333333333333334,43.98740344281273,0.1241565452091768,0.20022528660879146,-0.17769130973454317,1.3487281012854135,0.16767700795670026,-0.13853675907563456,0.8326252289814972
5,2015-01,2020-12,2021-01,2022-12,exclude_v1,30,30,0.0,26.666684524368012,0.15384615384615385,0.23172634235489364,-0.16449673776657536,1.5251075297281482,0.22310087849990756,-0.1378168347433395,1.0034995318994528
5,2015-01,2020-12,2021-01,2022-12,cagr_gt_bench,30,30,0.43333333333333335,20.4681964717506,0.11564625850340136,0.2633208390599784,-0.15041211293372614,1.6777544240217976,0.20768936081787404,-0.14307299123062223,0.9750397448906487
5,2015-01,2020-12,2021-01,2022-12,combo_best,30,30,0.16666666666666666,47.88284914353149,0.12430167597765363,0.21321796942412763,-0.1751726878707731,1.4273210352950618,0.17704927654614777,-0.13753112154727554,0.8731099338757429
6,2017-01,2022-12,2023-01,2025-12,baseline,30,30,0.43333333333333335,19.21448893086758,0.07792207792207792,0.291175474555619,-0.1316454954746098,1.5477034582278189,0.15228374920442822,-0.14649177380816236,1.1724898625546216
6,2017-01,2022-12,2023-01,2025-12,holdings_ge10,30,30,0.43333333333333335,19.21448893086758,0.07792207792207792,0.291175474555619,-0.1316454954746098,1.5477034582278189,0.15228374920442822,-0.14649177380816236,1.1724898625546216
6,2017-01,2022-12,2023-01,2025-12,holdings_ge30,30,30,0.26666666666666666,41.46695539998583,0.09618104667609619,0.24691746847453433,-0.1798611888867624,1.3156488214352158,0.15572850867708166,-0.1410767083638551,1.2083389200405046
6,2017-01,2022-12,2023-01,2025-12,exclude_v1,30,30,0.0,32.828029865540785,0.16188870151770657,0.28652953611523313,-0.15587398991303925,1.4715186520945116,0.14544834036204413,-0.159390863279969,1.1276350877236183
6,2017-01,2022-12,2023-01,2025-12,cagr_gt_bench,30,30,0.43333333333333335,19.21448893086758,0.07792207792207792,0.291175474555619,-0.1316454954746098,1.5477034582278189,0.15228374920442822,-0.14649177380816236,1.1724898625546216
6,2017-01,2022-12,2023-01,2025-12,combo_best,30,30,0.26666666666666666,41.37291465558475,0.09544159544159544,0.24960978742994655,-0.17822331787045298,1.33047231505138,0.1555534122737392,-0.1400497395955368,1.2086365111440651
