strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
MOM_qb2of3__REVENUE_qb1of3__C12_EPS_DYN_yoy__v1,MOM_qb2of3__REVENUE_qb1of3,C12_EPS_DYN_yoy,0.17395750921306163,-0.4934368417871342,0.5023885350318471,16.24,v1
PS_qb0of3__CROIC_qb1of3__C1_ROE_DYN_riseq1__v1,PS_qb0of3__CROIC_qb1of3,C1_ROE_DYN_riseq1,0.17395565763485377,-0.6179743604291439,0.5053852526926264,13.621052631578948,v1
MOM_qb2of3__NETDEBT_EBITDA_qb0of3__C8_EPS_DYN_riseq1__v1,MOM_qb2of3__NETDEBT_EBITDA_qb0of3,C8_EPS_DYN_riseq1,0.17393168439792372,-0.6893949999245241,0.5263644773358002,12.120567375886525,v1
MOM_qb2of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v0,MOM_qb2of3__VOL_qb0of3,C2_ROE_DYN_riseq2,0.17391020749469455,-0.6119032220827127,0.5546231309124199,88.13138686131387,v0
PB_qb0of3__NETDEBT_EBITDA_qb0of3__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,PB_qb0of3__NETDEBT_EBITDA_qb0of3,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,0.1739034025148667,-0.4822503096665366,0.5476286988244832,65.33823529411765,v0
P_IC_qb1of3__MOM_qb2of3__C5_ROE_DYN_yoy__v0,P_IC_qb1of3__MOM_qb2of3,C5_ROE_DYN_yoy,0.17390325883765345,-0.6955194738168424,0.4871567759078831,89.168,v0
MOM_qb2of3__NETDEBT_EBITDA_qb1of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,MOM_qb2of3__NETDEBT_EBITDA_qb1of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.17389890195300017,-0.5539361131399445,0.49049301699478376,88.61052631578947,v0
ROE_qb2of3__ACCRUAL_qb1of3__C5_ROE_DYN_yoy__v1,ROE_qb2of3__ACCRUAL_qb1of3,C5_ROE_DYN_yoy,0.173885939603039,-0.6536964622959784,0.5352459016393443,15.28,v1
P_IC_qb0of3__CROIC_qb1of3__C16_FCF_P_DYN_riseq2__v0,P_IC_qb0of3__CROIC_qb1of3,C16_FCF_P_DYN_riseq2,0.17386985397755894,-0.6000890142861826,0.4906079234972678,88.16058394160584,v0
MOM_qb2of3__DEBTRATIO_qb2of3__C1_ROE_DYN_riseq1__v0,MOM_qb2of3__DEBTRATIO_qb2of3,C1_ROE_DYN_riseq1,0.17382963895038905,-0.6878376560434056,0.4898271378308092,88.13333333333334,v0
P_IC_qb1of3__NETDEBT_EBITDA_qb0of3__C12_EPS_DYN_yoy__v0,P_IC_qb1of3__NETDEBT_EBITDA_qb0of3,C12_EPS_DYN_yoy,0.17380189935885193,-0.59011925786388,0.5065266742338252,75.552,v0
PS_qb1of3__REV_G_qb2of3__C10_EPS_DYN_qmax4__v0,PS_qb1of3__REV_G_qb2of3,C10_EPS_DYN_qmax4,0.17375699695732094,-0.4963287214873696,0.48770385710587627,61.152671755725194,v0
MOM_qb2of3__ROE_qb2of3__C3_ROE_DYN_qmax4__v1,MOM_qb2of3__ROE_qb2of3,C3_ROE_DYN_qmax4,0.1737566681384397,-0.5962628705753101,0.5279937791601866,15.984189723320158,v1
EV_S_qb0of3__FCF_OI_qb1of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,EV_S_qb0of3__FCF_OI_qb1of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.17373785664043973,-0.4263443808571471,0.4890034364261168,113.16911764705883,v0
MOM_qb2of3__ROE_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,MOM_qb2of3__ROE_qb2of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.17373191647081843,-0.5367048655142597,0.5119047619047619,21.26501766784452,v1
P_IC_qb0of3__MOM_qb2of3__C19_FCF_P_DYN_yoy__v0,P_IC_qb0of3__MOM_qb2of3,C19_FCF_P_DYN_yoy,0.17373019814603796,-0.6664424353596079,0.5001866368047779,76.912,v0
EV_S_qb0of3__ROE_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,EV_S_qb0of3__ROE_qb2of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.17371550659138335,-0.5084857291129893,0.5413127413127413,15.02135231316726,v1
ROE_qb2of3__FCF_P_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,ROE_qb2of3__FCF_P_qb2of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.17367412478657984,-0.44723647083299334,0.5221052631578947,16.205882352941178,v1
