strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
P_IC_qb0of3__EV_S_qb0of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__EV_S_qb0of3,C4_ROE_DYN_qmax8,0.26488191616775913,-0.5004574996164932,0.5427201394943331,39.57510729613734,v0
EV_S_qb0of3__OCF_E_qb1of3__C4_ROE_DYN_qmax8__v0,EV_S_qb0of3__OCF_E_qb1of3,C4_ROE_DYN_qmax8,0.2648400355015883,-0.5518303568645622,0.5357643758765779,21.27467811158798,v0
PB_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__REVENUE_qb0of3,C4_ROE_DYN_qmax8,0.26479596577969966,-0.5456711037328621,0.503767491926803,15.815450643776824,v0
PB_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__PS_qb0of3,C4_ROE_DYN_qmax8,0.2645937717164577,-0.5174547396323403,0.5244003308519437,40.36909871244635,v0
MOM_qb2of3__ROIC_qb2of3__C11_EPS_DYN_qmax8__v1,MOM_qb2of3__ROIC_qb2of3,C11_EPS_DYN_qmax8,0.26399513877089187,-0.37813910170160425,0.5189599133261105,13.174887892376681,v1
EV_S_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,EV_S_qb0of3__NETDEBT_EBITDA_qb2of3,C4_ROE_DYN_qmax8,0.2639415093830766,-0.6243204439960612,0.5323809523809524,18.042918454935624,v0
P_IC_qb0of3__ROIC_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,P_IC_qb0of3__ROIC_qb2of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.2634549036539342,-0.44054788464127015,0.49783549783549785,27.496350364963504,v0
P_IC_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v0,P_IC_qb0of3__ROE_qb2of3,C5_ROE_DYN_yoy,0.2634178112354544,-0.4547939533560399,0.5249127261186924,59.096,v0
EV_S_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__EPS_qb1of3,C11_EPS_DYN_qmax8,0.26329391421960846,-0.5055124189609719,0.5201676270298585,32.13304721030043,v0
PB_qb0of3__EV_S_qb0of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__EV_S_qb0of3,C4_ROE_DYN_qmax8,0.26305089502335455,-0.4948591153698261,0.5310314685314685,38.75536480686695,v0
MOM_qb2of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__OCF_E_qb2of3,C4_ROE_DYN_qmax8,0.2629454204569033,-0.710720952747999,0.529108327192336,40.97424892703863,v0
FCF_OI_qb2of3__DEBTRATIO_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,FCF_OI_qb2of3__DEBTRATIO_qb2of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.2626796963079403,-0.5880245824953754,0.5150214592274678,10.891228070175439,v1
OCF_E_qb1of3__FCF_P_qb2of3__C4_ROE_DYN_qmax8__v0,OCF_E_qb1of3__FCF_P_qb2of3,C4_ROE_DYN_qmax8,0.2624097748596357,-0.5982251999762593,0.5158891142663962,20.896995708154506,v0
EV_EBITDA_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,EV_EBITDA_qb0of3__EPS_qb1of3,C11_EPS_DYN_qmax8,0.2623877463125086,-0.48527665907964046,0.5326633165829145,26.70815450643777,v0
EV_S_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,EV_S_qb0of3__REVENUE_qb0of3,C9_EPS_DYN_riseq2,0.2623066512925962,-0.3373877268043055,0.5301877219685439,39.05474452554745,v0
P_IC_qb0of3__FCF_OI_qb1of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__FCF_OI_qb1of3,C4_ROE_DYN_qmax8,0.261457386112113,-0.5682778680294036,0.5571979434447301,23.030042918454935,v0
P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__OCF_E_qb2of3,C4_ROE_DYN_qmax8,0.26144980942731144,-0.42439076227544725,0.5397835773392744,24.34763948497854,v0
MOM_qb2of3__ACCRUAL_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,MOM_qb2of3__ACCRUAL_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.261034946292672,-0.5424693525857505,0.5383211678832117,12.325088339222615,v1
EV_S_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,EV_S_qb0of3__ACCRUAL_qb0of3,C3_ROE_DYN_qmax4,0.26097576537718425,-0.3874304527087691,0.5183578104138852,42.091603053435115,v0
EV_S_qb0of3__OCF_E_qb1of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__OCF_E_qb1of3,C11_EPS_DYN_qmax8,0.26064542940119484,-0.5387752739701328,0.5382145150931278,23.50214592274678,v0
PB_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,PB_qb0of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,0.2604372576046703,-0.51141935609578,0.5144855144855145,16.776824034334766,v0
P_IC_qb0of3__ROE_qb2of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__ROE_qb2of3,C12_EPS_DYN_yoy,0.2602266916282512,-0.4698240821928267,0.5293170103092784,59.972,v0
EV_S_qb1of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,EV_S_qb1of3__NETDEBT_EBITDA_qb2of3,C4_ROE_DYN_qmax8,0.26007364573370517,-0.5984980547818557,0.4962199312714777,23.433476394849784,v0
PS_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,PS_qb0of3__EPS_qb1of3,C11_EPS_DYN_qmax8,0.259593492726927,-0.516641508150665,0.5115443817342227,32.33047210300429,v0
PS_qb0of3__None__C11_EPS_DYN_qmax8__v1,PS_qb0of3__None,C11_EPS_DYN_qmax8,0.25939540604836897,-0.34804986458382303,0.5388026607538803,13.12,v1
