strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
EV_EBITDA_qb0of3__ROE_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,EV_EBITDA_qb0of3__ROE_qb2of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.18654194976962812,-0.5565819123430418,0.5627851140456183,33.21333333333333,v1
P_IC_qb0of3__OCF_E_qb0of3__C11_EPS_DYN_qmax8__v1,P_IC_qb0of3__OCF_E_qb0of3,C11_EPS_DYN_qmax8,0.18647902395945803,-0.6891669806508034,0.5614394928211822,39.06730769230769,v1
EPS_qb1of3__ROE_qb2of3__C17_FCF_P_DYN_qmax4__v0,EPS_qb1of3__ROE_qb2of3,C17_FCF_P_DYN_qmax4,0.18645867759585721,-0.4555484625376913,0.5751284471007655,168.89102564102564,v0
EV_EBITDA_qb0of3__ACCRUAL_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,EV_EBITDA_qb0of3__ACCRUAL_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.18641876735545826,-0.5725887914356715,0.548047632234838,24.768421052631577,v1
REVENUE_qb0of3__P_IC_qb1of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,REVENUE_qb0of3__P_IC_qb1of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.1863474980966493,-0.6302888371260161,0.5534398034398035,15.01,v1
P_IC_qb0of3__None__C18_FCF_P_DYN_qmax8__v1,P_IC_qb0of3__None,C18_FCF_P_DYN_qmax8,0.18633457634673478,-0.6573755637878452,0.5777720957981761,129.64423076923077,v1
VOL_qb2of3__FCF_OI_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,VOL_qb2of3__FCF_OI_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.18632790475544603,-0.5631966353138287,0.5465116279069767,17.480701754385965,v1
P_IC_qb1of3__FCF_P_qb0of3__C10_EPS_DYN_qmax4__v0,P_IC_qb1of3__FCF_P_qb0of3,C10_EPS_DYN_qmax4,0.18622392962840983,-0.5290793569731133,0.5542993385632979,184.83333333333334,v0
EPS_qb1of3__ROE_qb2of3__C11_EPS_DYN_qmax8__v0,EPS_qb1of3__ROE_qb2of3,C11_EPS_DYN_qmax8,0.18622348928424315,-0.4564501482521782,0.5725470259278088,167.79807692307693,v0
EV_EBITDA_qb0of3__REV_G_qb0of3__C18_FCF_P_DYN_qmax8__v1,EV_EBITDA_qb0of3__REV_G_qb0of3,C18_FCF_P_DYN_qmax8,0.18619806690891805,-0.6967549888640285,0.5394827586206896,46.52564102564103,v1
P_IC_qb0of3__ROE_qb2of3__None__v1,P_IC_qb0of3__ROE_qb2of3,None,0.18618713378372953,-0.6664451687294719,0.5743973399833749,31.08653846153846,v1
P_IC_qb0of3__NETDEBT_EBITDA_qb0of3__C11_EPS_DYN_qmax8__v1,P_IC_qb0of3__NETDEBT_EBITDA_qb0of3,C11_EPS_DYN_qmax8,0.1861697728156948,-0.7257207473312561,0.5765349032800673,23.666666666666668,v1
VOL_qb2of3__ACCRUAL_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,VOL_qb2of3__ACCRUAL_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.1861683661837299,-0.632412750943805,0.5209371884346959,28.03157894736842,v1
PS_qb0of3__NETDEBT_EBITDA_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,PS_qb0of3__NETDEBT_EBITDA_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.18613935228904244,-0.6187897719889316,0.550351288056206,23.035087719298247,v1
VOL_qb2of3__ROIC_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,VOL_qb2of3__ROIC_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.18612680476215648,-0.7569317942120719,0.5033181976947259,23.04,v1
P_IC_qb1of3__CROIC_qb0of3__C18_FCF_P_DYN_qmax8__v0,P_IC_qb1of3__CROIC_qb0of3,C18_FCF_P_DYN_qmax8,0.18612351286211148,-0.5335424241251587,0.5550235539423893,175.82371794871796,v0
