strategy_uid,CAGR_reported,CAGR_without_anomaly,CAGR_inflation_pp,n_anomaly_months,n_months,anomaly_stocks
US::P_IC_qb1of3__NETDEBT_EBITDA_qb0of3__C2_ROE_DYN_riseq2__v1,0.2558656896742173,0.18318969475067504,7.269704597562154,1,307,ASYS｜PED｜RLMD
US::EV_S_qb0of3__FCF_OI_qb2of3__C2_ROE_DYN_riseq2__v1,0.2555487324734191,0.18310612913943491,7.246362575585907,1,307,ASYS｜REI
US::PS_qb0of3__DEBTRATIO_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.248657759953307,0.17648536776160828,7.219279362173636,1,307,ASYS｜HIG｜REI
US::EV_S_qb0of3__DEBTRATIO_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.249228357872816,0.17708480526765147,7.216400534956735,1,307,ASYS｜HIG｜REI
US::REVENUE_qb0of3__NETDEBT_EBITDA_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.247599497054902,0.17556963477864573,7.205016858659041,1,307,ACAD｜ASYS｜EYPT｜PED｜QXO｜RLMD
US::REVENUE_qb0of3__REV_G_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.2455375463685205,0.17352011200410122,7.203755553048841,1,307,ACAD｜ASYS｜EYPT｜PBYI｜QXO｜TSSI
US::P_IC_qb1of3__NETDEBT_EBITDA_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.2446977289177809,0.17268510994121034,7.2032664806692015,1,307,ASYS｜PED｜RLMD
US::P_IC_qb1of3__FCF_OI_qb2of3__C2_ROE_DYN_riseq2__v1,0.2458993384681733,0.17404821875585252,7.187127334584598,1,307,ASYS
US::REVENUE_qb0of3__P_IC_qb1of3__C2_ROE_DYN_riseq2__v1,0.2432938557941224,0.17148770823783588,7.1826067544879635,1,307,ARMP｜ASYS｜PED｜RLMD
US::P_IC_qb1of3__FCF_OI_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.2417660088946676,0.1700077763307315,7.177801573068732,1,307,ASYS
US::EV_S_qb0of3__FCF_OI_qb2of3__C9_EPS_DYN_riseq2__v1,0.2394402822518719,0.1678704401204434,7.158941729014967,1,307,ASYS｜REI
US::P_IC_qb1of3__VOL_qb2of3__C9_EPS_DYN_riseq2__v1,0.2373858706519247,0.16592077568116514,7.148448665437623,1,307,ASYS｜CTMX｜PED｜RLMD
US::REVENUE_qb0of3__ACCRUAL_qb0of3__C2_ROE_DYN_riseq2__v1,0.2332857519750362,0.16192639890595362,7.137837933056157,1,307,ARMP｜ASYS｜CHCI｜CRNC｜PBYI｜RLMD｜TSSI
US::EPS_qb1of3__REV_G_qb2of3__C9_EPS_DYN_riseq2__v1,0.2355505178805721,0.1642186698321777,7.1351076032831084,1,307,ASYS｜CTMX
US::P_IC_qb1of3__DEBTRATIO_qb0of3__C9_EPS_DYN_riseq2__v1,0.231353838625596,0.16009481126489766,7.12778817882731,1,307,ASYS｜CTMX｜PED｜RLMD
US::P_IC_qb1of3__FCF_OI_qb2of3__C9_EPS_DYN_riseq2__v1,0.2328117957449265,0.16163723821822518,7.119354161154812,1,307,ASYS
US::REVENUE_qb0of3__ACCRUAL_qb0of3__C9_EPS_DYN_riseq2__v1,0.230359915821295,0.15922811155778693,7.115057037354977,1,307,ASYS｜CHCI｜CRNC｜RCAT｜RLMD
US::P_IC_qb1of3__VOL_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.2329649776068179,0.16185265284445394,7.113132247716147,1,307,ARMP｜ASYS｜PED｜RLMD
US::EPS_qb1of3__REV_G_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.2311767332780803,0.16014933840458045,7.104623355960604,1,307,ASYS
US::P_IC_qb1of3__DEBTRATIO_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.2249496977023402,0.15406137256630315,7.090661154470346,1,307,ASYS｜PED｜RLMD
US::P_IC_qb1of3__VOL_qb2of3__C2_ROE_DYN_riseq2__v1,0.2254077932335152,0.15457460348121477,7.085151671035317,1,307,ARMP｜ASYS｜PED｜RLMD
US::EV_EBITDA_qb0of3__NETDEBT_EBITDA_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.2239992061669862,0.15328341700393366,7.073399147697712,1,307,ACAD｜ASYS｜EYPT｜QXO｜RLMD
US::P_IC_qb1of3__REV_G_qb2of3__C2_ROE_DYN_riseq2__v1,0.2232052395532642,0.15253464048532073,7.068873117729835,1,307,ASYS
US::P_IC_qb1of3__DEBTRATIO_qb0of3__C2_ROE_DYN_riseq2__v1,0.2215018699930071,0.15092775835201255,7.059209326200833,1,307,ASYS｜PED｜RLMD
US::P_IC_qb1of3__REV_G_qb2of3__C9_EPS_DYN_riseq2__v1,0.2144446106679556,0.1442659508466302,7.019601981640289,1,307,ASYS｜CTMX
US::EV_EBITDA_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,0.3560570421294851,0.2871387129895473,6.892417818683483,1,290,ASST｜CPRX｜CRNC｜EPM｜SIDU｜SLS｜VNDA
TW::P_IC_qb0of3__ROIC_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,0.2761123342319109,0.20817200235175481,6.79988396324398,1,273,6130
TW::P_IC_qb0of3__ROIC_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,0.268149879063136,0.20065636798702702,6.755016112191092,1,273,6130
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C12_EPS_DYN_yoy__v0,0.2773056231465001,0.20987764063044478,6.747181041930306,1,249,6130
US::PB_qb0of3__ROE_qb0of3__C11_EPS_DYN_qmax8__v0,0.4423459320246348,0.37700718175991255,6.534623154665242,1,290,ASST｜BDTX｜CRNC｜CTMX｜EPM｜FCEL｜SIDU｜SPRB｜TENX｜TNXP｜VNDA
