opponent,metric,tree_key,scheme,window_no,win_share,n_settings,unit_win
B_all,mdd,US,A,5,0.85,20,True
B_all,mdd,US,A,6,0.7,20,True
B_all,mdd,US,B,1,0.3,20,False
B_all,mdd,US,B,2,1.0,20,True
B_all,mdd,US,B,3,1.0,20,True
B_all,mdd,US,B,4,0.6,20,True
B_all,mdd,US,C,1,0.8,20,True
B_all,mdd,US,C,2,1.0,20,True
B_all,mdd,US,C,3,0.85,20,True
B_all,mdd,US,D,1,0.8,20,True
B_all,mdd,US,D,2,1.0,20,True
B_all,mdd,US,D,3,1.0,20,True
B_all,mdd,US,D,4,0.85,20,True
B_all,mdd,US,D,5,0.7,20,True
B_all,mdd,US,E,1,0.8,20,True
B_all,mdd,US,E,2,1.0,20,True
B_all,mdd,US,E,3,0.85,20,True
B_all,mdd,US,E,4,1.0,20,True
B_all,mdd,US,F,1,1.0,20,True
B_all,mdd,US,F,2,1.0,20,True
B_all,mdd,US,F,3,0.7,20,True
B_all,mdd,US,G,1,1.0,20,True
B_all,mdd,US,G,2,1.0,20,True
B_all,mdd,US,G,3,0.85,20,True
B_all,mdd,US,G,4,0.7,20,True
B_all,mdd,US,H,1,1.0,20,True
B_all,mdd,US,H,2,1.0,20,True
B_all,mdd,US,H,3,0.7,20,True
B_all,mdd,US,I,1,1.0,20,True
B_all,mdd,US,I,2,0.85,20,True
B_all,mdd,US,J,1,1.0,20,True
B_all,mdd,US,J,2,0.85,20,True
B_all,mdd,US,J,3,0.7,20,True
B_all,mdd,US,K,1,1.0,20,True
B_all,mdd,US,K,2,0.6,20,True
B_all,mdd,US,L,1,1.0,20,True
B_all,mdd,US,L,2,0.7,20,True
B_all,mdd,US,R,1,0.95,20,True
B_all,mdd,US,R,2,1.0,20,True
B_all,mdd,US,R,3,0.25,20,False
B_all,mdd,US,R,4,0.85,20,True
B_all,mdd,XM,A,1,0.6,20,True
B_all,mdd,XM,A,2,0.9,20,True
B_all,mdd,XM,A,3,0.85,20,True
B_all,mdd,XM,A,4,1.0,20,True
B_all,mdd,XM,A,5,0.8,20,True
B_all,mdd,XM,A,6,0.75,20,True
B_all,mdd,XM,B,1,0.75,20,True
B_all,mdd,XM,B,2,1.0,20,True
B_all,mdd,XM,B,3,1.0,20,True
B_all,mdd,XM,B,4,0.55,20,True
B_all,mdd,XM,C,1,1.0,20,True
B_all,mdd,XM,C,2,1.0,20,True
B_all,mdd,XM,C,3,0.8,20,True
B_all,mdd,XM,D,1,0.9,20,True
B_all,mdd,XM,D,2,0.85,20,True
B_all,mdd,XM,D,3,1.0,20,True
B_all,mdd,XM,D,4,0.8,20,True
B_all,mdd,XM,D,5,0.75,20,True
B_all,mdd,XM,E,1,0.9,20,True
B_all,mdd,XM,E,2,1.0,20,True
B_all,mdd,XM,E,3,0.8,20,True
B_all,mdd,XM,E,4,1.0,20,True
B_all,mdd,XM,F,1,0.7,20,True
B_all,mdd,XM,F,2,1.0,20,True
B_all,mdd,XM,F,3,0.75,20,True
B_all,mdd,XM,G,1,0.85,20,True
B_all,mdd,XM,G,2,1.0,20,True
B_all,mdd,XM,G,3,0.8,20,True
B_all,mdd,XM,G,4,0.75,20,True
B_all,mdd,XM,H,1,0.85,20,True
B_all,mdd,XM,H,2,1.0,20,True
B_all,mdd,XM,H,3,0.75,20,True
B_all,mdd,XM,I,1,1.0,20,True
B_all,mdd,XM,I,2,0.8,20,True
B_all,mdd,XM,J,1,1.0,20,True
B_all,mdd,XM,J,2,0.8,20,True
B_all,mdd,XM,J,3,0.75,20,True
B_all,mdd,XM,K,1,1.0,20,True
B_all,mdd,XM,K,2,0.55,20,True
B_all,mdd,XM,L,1,1.0,20,True
B_all,mdd,XM,L,2,0.75,20,True
B_all,mdd,XM,R,1,0.9,20,True
B_all,mdd,XM,R,2,0.8,20,True
B_all,mdd,XM,R,3,0.3,20,False
B_all,mdd,XM,R,4,1.0,20,True
D_top_cagr,cagr,TW,A,1,0.75,20,True
D_top_cagr,cagr,TW,A,2,0.2,20,False
D_top_cagr,cagr,TW,A,3,0.0,20,False
D_top_cagr,cagr,TW,A,4,0.0,20,False
D_top_cagr,cagr,TW,A,5,0.0,20,False
D_top_cagr,cagr,TW,A,6,0.95,20,True
D_top_cagr,cagr,TW,B,1,0.45,20,False
D_top_cagr,cagr,TW,B,2,0.0,20,False
D_top_cagr,cagr,TW,B,3,0.0,20,False
D_top_cagr,cagr,TW,B,4,0.4,20,False
D_top_cagr,cagr,TW,C,1,0.2,20,False
D_top_cagr,cagr,TW,C,2,0.0,20,False
D_top_cagr,cagr,TW,C,3,0.0,20,False
D_top_cagr,cagr,TW,D,1,0.2,20,False
D_top_cagr,cagr,TW,D,2,0.0,20,False
D_top_cagr,cagr,TW,D,3,0.0,20,False
D_top_cagr,cagr,TW,D,4,0.0,20,False
D_top_cagr,cagr,TW,D,5,0.95,20,True
D_top_cagr,cagr,TW,E,1,0.0,20,False
D_top_cagr,cagr,TW,E,2,0.0,20,False
D_top_cagr,cagr,TW,E,3,0.0,20,False
D_top_cagr,cagr,TW,E,4,0.5,20,False
D_top_cagr,cagr,TW,F,1,0.0,20,False
D_top_cagr,cagr,TW,F,2,0.0,20,False
D_top_cagr,cagr,TW,F,3,0.95,20,True
D_top_cagr,cagr,TW,G,1,0.0,20,False
D_top_cagr,cagr,TW,G,2,0.0,20,False
D_top_cagr,cagr,TW,G,3,0.0,20,False
D_top_cagr,cagr,TW,G,4,0.95,20,True
D_top_cagr,cagr,TW,H,1,0.0,20,False
D_top_cagr,cagr,TW,H,2,0.0,20,False
D_top_cagr,cagr,TW,H,3,0.95,20,True
D_top_cagr,cagr,TW,I,1,0.0,20,False
D_top_cagr,cagr,TW,I,2,0.0,20,False
D_top_cagr,cagr,TW,J,1,0.0,20,False
D_top_cagr,cagr,TW,J,2,0.0,20,False
D_top_cagr,cagr,TW,J,3,0.95,20,True
D_top_cagr,cagr,TW,K,1,0.0,20,False
D_top_cagr,cagr,TW,K,2,0.4,20,False
D_top_cagr,cagr,TW,L,1,0.0,20,False
D_top_cagr,cagr,TW,L,2,0.95,20,True
D_top_cagr,cagr,TW,R,1,0.0,20,False
D_top_cagr,cagr,TW,R,2,0.0,20,False
D_top_cagr,cagr,TW,R,3,0.0,20,False
D_top_cagr,cagr,TW,R,4,0.65,20,True
D_top_cagr,cagr,US,A,1,0.0,20,False
D_top_cagr,cagr,US,A,2,0.1,20,False
D_top_cagr,cagr,US,A,3,0.0,20,False
D_top_cagr,cagr,US,A,4,0.0,20,False
D_top_cagr,cagr,US,A,5,0.0,20,False
