tree_key,scheme,mode,window_no,n_windows,min_is_months,oos_len_months,is_start,is_end,oos_start,oos_end,n_is_months,n_oos_months,n_universe,k_mode,n_clusters,ratio,allocation,group,target_total,n_capped_clusters,n_backfilled,n_members,is_cagr,is_mdd,is_sharpe,oos_cagr,oos_mdd,oos_sharpe,oos_enb,n_clusters_covered,max_cluster_share
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.03,proportional,D_top_cagr,200,0,0,200,0.3630015797191759,-0.4467828414566263,1.0587573824691328,0.23550219156419527,-0.09252956628995046,2.0915781827558146,4.517179382544043,11,0.27
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.03,proportional,E_top_calmar,200,0,0,200,0.32838232395413147,-0.3728529258245563,1.1127278133622163,0.23625728003718716,-0.08300851150417221,2.2236567310154127,4.078035354469715,10,0.29
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.05,equal,A_hrp,334,0,116,334,0.26294036106955954,-0.4444627624200075,0.9274443933556065,0.23964069823226342,-0.08923401264193809,2.1689235873384085,5.525496934398474,11,0.09281437125748503
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.05,equal,D_top_cagr,334,0,0,334,0.33003882014230124,-0.44914735962396146,1.0359759997533022,0.23803152142498973,-0.09294587794420273,2.108411346875944,4.67997087503058,11,0.17964071856287425
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.05,equal,E_top_calmar,334,0,0,334,0.30522531123403485,-0.3886429374713144,1.066953532690735,0.23867358277784034,-0.08440608082404144,2.2290780646803214,4.201166202740465,11,0.24850299401197604
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.05,proportional,A_hrp,334,0,9,334,0.1906818148749878,-0.4916501069009356,0.7593473535609467,0.24011287323342945,-0.08701604277902408,2.134690902995623,6.059166836499861,11,0.2754491017964072
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.05,proportional,D_top_cagr,334,0,0,334,0.33003882014230124,-0.44914735962396146,1.0359759997533022,0.23803152142498973,-0.09294587794420273,2.108411346875944,4.67997087503058,11,0.17964071856287425
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.05,proportional,E_top_calmar,334,0,0,334,0.30522531123403485,-0.3886429374713144,1.066953532690735,0.23867358277784034,-0.08440608082404144,2.2290780646803214,4.201166202740465,11,0.24850299401197604
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.1,equal,A_hrp,668,0,360,668,0.24568410839124755,-0.46196235122750984,0.8778468916605785,0.2362796071792801,-0.09001288379950934,2.135667425777282,,11,0.09131736526946108
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.1,equal,D_top_cagr,668,0,0,668,0.2853524398382392,-0.4518204461538584,0.9746338644539482,0.24080709689839752,-0.09113821868475114,2.1421555859823704,,11,0.16467065868263472
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.1,equal,E_top_calmar,668,0,0,668,0.2740881960547503,-0.4153738402001005,0.9891526667519939,0.23954621214490723,-0.08652844448743247,2.212906124535852,,11,0.22005988023952097
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.1,proportional,A_hrp,668,0,220,668,0.18603409442154417,-0.4870338888791731,0.7461243127357442,0.24107370939508144,-0.08709165322517531,2.1585620896973032,,11,0.2754491017964072
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.1,proportional,D_top_cagr,668,0,0,668,0.2853524398382392,-0.4518204461538584,0.9746338644539482,0.24080709689839752,-0.09113821868475114,2.1421555859823704,,11,0.16467065868263472
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.1,proportional,E_top_calmar,668,0,0,668,0.2740881960547503,-0.4153738402001005,0.9891526667519939,0.23954621214490723,-0.08652844448743247,2.212906124535852,,11,0.22005988023952097
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,all,unallocated,B_all,6679,0,0,6679,0.15327403609524426,-0.5490781259939754,0.6901026287822889,0.06637210632126656,-0.17700173885934212,0.5972635584414109,,6,0.39646653690672257
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,legacy,equal,A_hrp,30,0,1,30,0.3343931190206628,-0.32922512425674966,1.2571139497510921,0.10541724851509837,-0.15416931036853432,0.9505258779746073,3.5997376953211146,6,0.16666666666666666
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,legacy,equal,D_top_cagr,30,0,0,30,0.42547912608619054,-0.43910318320149744,0.9740219405434101,0.0949474499928955,-0.17680999540574394,0.8042070302535619,2.9645188087294483,5,0.6333333333333333
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,legacy,equal,E_top_calmar,30,0,0,30,0.3705639726488723,-0.3131816106150487,1.1711358285099194,0.06963984592073413,-0.17227228977044473,0.6733322973093429,2.825635974092115,6,0.3333333333333333
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,legacy,proportional,A_hrp,30,0,0,30,0.2963429371628481,-0.3068943083693694,1.2089794898913993,0.09142982917697307,-0.15082674036541366,0.866100824501473,3.6554439851408778,6,0.4
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,legacy,proportional,D_top_cagr,30,0,0,30,0.42547912608619054,-0.43910318320149744,0.9740219405434101,0.0949474499928955,-0.17680999540574394,0.8042070302535619,2.9645188087294483,5,0.6333333333333333
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,legacy,proportional,E_top_calmar,30,0,0,30,0.3705639726488723,-0.3131816106150487,1.1711358285099194,0.06963984592073413,-0.17227228977044473,0.6733322973093429,2.825635974092115,6,0.3333333333333333
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.01,equal,A_hrp,67,0,7,67,0.3093655709792018,-0.3670819342504892,1.1556212565787813,0.09286984652214647,-0.16319322060234198,0.8401467124948333,4.146752808509778,6,0.1791044776119403
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.01,equal,D_top_cagr,67,0,0,67,0.39117640991052527,-0.44465990307637093,1.0721083010290497,0.0966360982358625,-0.17182665992654056,0.8387660014501273,3.7018529138958884,6,0.4925373134328358
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.01,equal,E_top_calmar,67,0,0,67,0.3456113363093509,-0.3364270398125022,1.1730711946068297,0.07769412109253127,-0.1681001172728036,0.7404053505798658,2.9565083019337544,6,0.3582089552238806
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.01,proportional,A_hrp,67,0,0,67,0.27274159628762273,-0.3552574446951714,1.1104038904929696,0.08620729431349305,-0.15656116675548748,0.7973431725757868,3.913411454897232,6,0.3880597014925373
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.01,proportional,D_top_cagr,67,0,0,67,0.39117640991052527,-0.44465990307637093,1.0721083010290497,0.0966360982358625,-0.17182665992654056,0.8387660014501273,3.7018529138958884,6,0.4925373134328358
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.01,proportional,E_top_calmar,67,0,0,67,0.3456113363093509,-0.3364270398125022,1.1730711946068297,0.07769412109253127,-0.1681001172728036,0.7404053505798658,2.9565083019337544,6,0.3582089552238806
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.03,equal,A_hrp,200,0,68,200,0.28882751053952793,-0.4116633767174068,1.0860068475758555,0.09560674493572408,-0.16664529351613588,0.8248636905972203,4.083849571527299,6,0.17
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.03,equal,D_top_cagr,200,0,0,200,0.3356544650098878,-0.44242275906340356,1.1322957203155752,0.09742783957231871,-0.1682555780248196,0.846928465161847,3.8848549926722966,6,0.27
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.03,equal,E_top_calmar,200,0,0,200,0.3067704086906107,-0.3660238081984648,1.1819445863219484,0.09186188678340779,-0.15988368252267415,0.8541548036865686,3.3624577251210703,6,0.235
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.03,proportional,A_hrp,200,0,0,200,0.22264626434385537,-0.44334772277068835,0.9527099026672466,0.07924212451493218,-0.16794038524868726,0.7131176760704737,4.309499752244094,6,0.395
