tree_key,metric,ratio,n_cells,z_mean,z_median,pct_A_wins,pct_z_over_2,pct_z_under_neg2,diff_mean,diff_median,random_std_mean,se_binomial_nominal,evidence_type
TW,oos_mdd,legacy,180,1.1325213325562495,1.326757752820142,0.7944444444444444,0.26666666666666666,0.022222222222222223,0.007586747966572099,0.00922788065028221,0.0067142673450367235,0.037267799624996496,exploratory
US,oos_mdd,legacy,180,2.552975615443557,2.8370034524920236,0.9055555555555556,0.55,0.022222222222222223,0.026288370765751058,0.023039691848016297,0.01145524986297326,0.037267799624996496,exploratory
XM,oos_mdd,legacy,180,1.2965543096574612,1.493679272074898,0.7722222222222223,0.4,0.0,0.023692179097000016,0.02522253570682515,0.01827624828309807,0.037267799624996496,exploratory
TW,oos_sharpe,ALL,900,4.728229393098557,4.4504239206088565,0.9544444444444444,0.85,0.024444444444444446,0.12587857963785637,0.11840302826714022,0.0312050938154143,0.016666666666666666,confirmatory
US,oos_sharpe,ALL,900,5.936970193766,5.175437764274953,0.88,0.7733333333333333,0.022222222222222223,0.15867555285615464,0.129464370066264,0.033033194012439704,0.016666666666666666,confirmatory
XM,oos_sharpe,ALL,900,5.480211037679609,4.768594879375055,0.9188888888888889,0.7577777777777778,0.03666666666666667,0.17074976849396076,0.12959699665383573,0.042544463642831674,0.016666666666666666,confirmatory
TW,oos_sharpe,0.01,180,4.098299209618597,4.59022213199814,0.9555555555555556,0.8722222222222222,0.03333333333333333,0.16084485455314995,0.17493054482933368,0.04183065451624546,0.037267799624996496,exploratory
US,oos_sharpe,0.01,180,5.058373411707127,5.413148428370704,0.85,0.7833333333333333,0.0,0.20177362384835085,0.176821309162557,0.042630442445783005,0.037267799624996496,exploratory
XM,oos_sharpe,0.01,180,5.228086897079734,5.1677781694534355,0.9944444444444445,0.8611111111111112,0.005555555555555556,0.20282111508975467,0.19117249022302807,0.04034519583254274,0.037267799624996496,exploratory
TW,oos_sharpe,0.03,180,5.26099856625833,5.86233576105683,0.9555555555555556,0.9166666666666666,0.022222222222222223,0.11645262206459601,0.11723135161929932,0.02373397899534862,0.037267799624996496,exploratory
US,oos_sharpe,0.03,180,5.486768737556973,5.175437764274953,0.8611111111111112,0.7666666666666667,0.03333333333333333,0.12323971734819127,0.11437257950911778,0.024059519163295986,0.037267799624996496,exploratory
XM,oos_sharpe,0.03,180,2.724603583908272,2.8495919382664363,0.7944444444444444,0.5388888888888889,0.08333333333333333,0.06314656651697216,0.05462697595436172,0.023092006697597922,0.037267799624996496,exploratory
TW,oos_sharpe,0.05,180,4.951273009320644,4.940737618734488,0.9555555555555556,0.8944444444444445,0.022222222222222223,0.08690230328418833,0.07801585207461359,0.01829508696456115,0.037267799624996496,exploratory
US,oos_sharpe,0.05,180,5.783590938399198,5.045586177152007,0.8833333333333333,0.7833333333333333,0.03888888888888889,0.10314091357630263,0.08863015299025095,0.0190893647420091,0.037267799624996496,exploratory
XM,oos_sharpe,0.05,180,5.358860964142201,5.362896238087465,0.8833333333333333,0.8111111111111111,0.06666666666666667,0.09175351531597443,0.0859511837827438,0.01763449121077687,0.037267799624996496,exploratory
TW,oos_sharpe,0.1,180,6.07126375162879,6.088933991631935,0.9388888888888889,0.8277777777777777,0.03333333333333333,0.07730894037903763,0.07061255876780059,0.01242357261987621,0.037267799624996496,exploratory
US,oos_sharpe,0.1,180,9.512717281599684,8.88603709833548,0.9388888888888889,0.8055555555555556,0.03888888888888889,0.11511448153769488,0.10979294878581136,0.013148867143104244,0.037267799624996496,exploratory
XM,oos_sharpe,0.1,180,10.816292684725896,11.610803451787797,0.9222222222222223,0.8611111111111112,0.027777777777777776,0.12470651036504259,0.12352531006893586,0.012152530902395984,0.037267799624996496,exploratory
TW,oos_sharpe,legacy,180,3.259312428666424,3.8366378122398017,0.9666666666666667,0.7388888888888889,0.011111111111111112,0.1878841779083099,0.19637459078074793,0.05974217598104007,0.037267799624996496,exploratory
US,oos_sharpe,legacy,180,3.8434005995670186,4.466258073192872,0.8666666666666667,0.7277777777777777,0.0,0.2501090279702335,0.2335776378475613,0.06623777656800621,0.037267799624996496,exploratory
XM,oos_sharpe,legacy,180,3.27321105854194,3.226794904196911,1.0,0.7166666666666667,0.0,0.3713211351820598,0.32696053430484173,0.11949809357084484,0.037267799624996496,exploratory
TW,oos_enb,ALL,720,8.690033165362522,7.94037445699051,1.0,0.95,0.0,1.0084119951672232,0.8809125548415135,0.13778658419186718,0.018633899812498248,confirmatory
US,oos_enb,ALL,540,12.606047391092455,11.044103988504782,1.0,1.0,0.0,1.6517641815308044,1.5508631825980324,0.15095070053823073,0.02151657414559676,confirmatory
XM,oos_enb,ALL,360,9.1886217998872,7.87226032609129,1.0,0.9611111111111111,0.0,1.8514016816631806,1.569236736431331,0.24932909218278773,0.026352313834736494,confirmatory
TW,oos_enb,0.01,180,5.223469512247331,5.168889711189796,1.0,1.0,0.0,0.9028401602715403,0.7946855058875151,0.1658921082762478,0.037267799624996496,exploratory
US,oos_enb,0.01,180,11.495149993292468,11.044103988504782,1.0,1.0,0.0,1.7380489914677077,1.5515505846960886,0.15023452045860547,0.037267799624996496,exploratory
XM,oos_enb,0.01,180,14.415642096544312,14.859098635970703,1.0,1.0,0.0,2.4273496269620405,2.2133406155802566,0.17052756304125483,0.037267799624996496,exploratory
TW,oos_enb,0.03,180,11.081004608229877,10.672724456437132,1.0,1.0,0.0,1.1813045189464055,1.1619197484854853,0.10284687907627862,0.037267799624996496,exploratory
US,oos_enb,0.03,180,19.9688592819781,19.960393888140622,1.0,1.0,0.0,1.8860174772198572,1.7245045316500356,0.09346916403335208,0.037267799624996496,exploratory
TW,oos_enb,0.05,180,15.34043128194338,14.903501396654756,1.0,1.0,0.0,1.2686055124572713,1.1944243085164237,0.07866068267887111,0.037267799624996496,exploratory
TW,oos_enb,legacy,180,3.1152272590294996,3.2352260029284,1.0,0.8,0.0,0.6808977889936758,0.5907697034196187,0.2037466667360712,0.037267799624996496,exploratory
US,oos_enb,legacy,180,6.354132898006795,6.238946136633981,1.0,1.0,0.0,1.3312260759048484,1.1292302135201235,0.20914841712273471,0.037267799624996496,exploratory
XM,oos_enb,legacy,180,3.9616015032300855,4.033903303640112,1.0,0.9222222222222223,0.0,1.2754537363643212,1.2290880350241973,0.3281306213243207,0.037267799624996496,exploratory
