tree_key,scheme,k_mode,ratio,allocation,group,n_windows,n_members_mean,jaccard_adjacent_mean,jaccard_adjacent_max,overlap_coef_adjacent_mean,core_size,core_share
TW,E,silhouette_is,0.03,proportional,A_hrp,4,200.0,0.3307456904763377,0.36054421768707484,0.49666666666666665,45,0.225
TW,E,silhouette_is,0.03,proportional,D_top_cagr,4,200.0,0.6507971242182123,0.7021276595744681,0.7866666666666666,118,0.59
TW,E,silhouette_is,0.03,proportional,E_top_calmar,4,200.0,0.7837876292261052,0.8348623853211009,0.8783333333333334,145,0.725
TW,E,silhouette_is,0.05,equal,A_hrp,4,334.0,0.4600428797638863,0.49107142857142855,0.6297405189620758,137,0.4101796407185629
TW,E,silhouette_is,0.05,equal,D_top_cagr,4,334.0,0.6726671483696003,0.7172236503856041,0.8033932135728543,200,0.5988023952095808
TW,E,silhouette_is,0.05,equal,E_top_calmar,4,334.0,0.7724154423902111,0.8102981029810298,0.87125748502994,243,0.7275449101796407
TW,E,silhouette_is,0.05,proportional,A_hrp,4,334.0,0.3637872400549929,0.39166666666666666,0.5329341317365269,79,0.23652694610778444
TW,E,silhouette_is,0.05,proportional,D_top_cagr,4,334.0,0.6726671483696003,0.7172236503856041,0.8033932135728543,200,0.5988023952095808
TW,E,silhouette_is,0.05,proportional,E_top_calmar,4,334.0,0.7724154423902111,0.8102981029810298,0.87125748502994,243,0.7275449101796407
TW,E,silhouette_is,0.1,equal,A_hrp,4,668.0,0.5500855453274038,0.5923718712753278,0.7090818363273453,337,0.5044910179640718
TW,E,silhouette_is,0.1,equal,D_top_cagr,4,668.0,0.709270593655496,0.7578947368421053,0.8293413173652695,426,0.6377245508982036
TW,E,silhouette_is,0.1,equal,E_top_calmar,4,668.0,0.7808262015202327,0.8102981029810298,0.8767465069860281,499,0.7470059880239521
TW,E,silhouette_is,0.1,proportional,A_hrp,4,668.0,0.49059509513085137,0.5321100917431193,0.656686626746507,253,0.3787425149700599
TW,E,silhouette_is,0.1,proportional,D_top_cagr,4,668.0,0.709270593655496,0.7578947368421053,0.8293413173652695,426,0.6377245508982036
TW,E,silhouette_is,0.1,proportional,E_top_calmar,4,668.0,0.7808262015202327,0.8102981029810298,0.8767465069860281,499,0.7470059880239521
TW,E,silhouette_is,legacy,equal,A_hrp,4,32.5,0.4437830687830688,0.4583333333333333,0.6317460317460317,13,0.4
TW,E,silhouette_is,legacy,equal,D_top_cagr,4,32.5,0.6593262375852212,0.7647058823529411,0.8126984126984128,20,0.6153846153846154
TW,E,silhouette_is,legacy,equal,E_top_calmar,4,32.5,0.7407407407407408,0.8055555555555556,0.8746031746031746,21,0.6461538461538462
TW,E,silhouette_is,legacy,proportional,A_hrp,4,32.5,0.41191283790728744,0.48936170212765956,0.5968253968253968,10,0.3076923076923077
TW,E,silhouette_is,legacy,proportional,D_top_cagr,4,32.5,0.6593262375852212,0.7647058823529411,0.8126984126984128,20,0.6153846153846154
TW,E,silhouette_is,legacy,proportional,E_top_calmar,4,32.5,0.7407407407407408,0.8055555555555556,0.8746031746031746,21,0.6461538461538462
TW,F,fixed,0.01,equal,A_hrp,3,67.0,0.4335240274599542,0.45652173913043476,0.6044776119402986,30,0.44776119402985076
TW,F,fixed,0.01,equal,D_top_cagr,3,67.0,0.5338827838827839,0.5952380952380952,0.6940298507462687,34,0.5074626865671642
TW,F,fixed,0.01,equal,E_top_calmar,3,67.0,0.7296802131912059,0.7631578947368421,0.8432835820895522,51,0.7611940298507462
TW,F,fixed,0.01,proportional,A_hrp,3,67.0,0.3448414291449217,0.425531914893617,0.5074626865671641,22,0.3283582089552239
TW,F,fixed,0.01,proportional,D_top_cagr,3,67.0,0.5338827838827839,0.5952380952380952,0.6940298507462687,34,0.5074626865671642
TW,F,fixed,0.01,proportional,E_top_calmar,3,67.0,0.7296802131912059,0.7631578947368421,0.8432835820895522,51,0.7611940298507462
TW,F,fixed,0.03,equal,A_hrp,3,200.0,0.4338575393154487,0.4492753623188406,0.605,94,0.47
TW,F,fixed,0.03,equal,D_top_cagr,3,200.0,0.5480895915678524,0.5810276679841897,0.7075,120,0.6
TW,F,fixed,0.03,equal,E_top_calmar,3,200.0,0.7321210985097011,0.762114537444934,0.845,150,0.75
TW,F,fixed,0.03,proportional,A_hrp,3,200.0,0.28638643296623756,0.30293159609120524,0.445,52,0.26
TW,F,fixed,0.03,proportional,D_top_cagr,3,200.0,0.5480895915678524,0.5810276679841897,0.7075,120,0.6
TW,F,fixed,0.03,proportional,E_top_calmar,3,200.0,0.7321210985097011,0.762114537444934,0.845,150,0.75
TW,F,fixed,0.05,equal,A_hrp,3,334.0,0.4403241695942304,0.4713656387665198,0.6107784431137725,156,0.46706586826347307
TW,F,fixed,0.05,equal,D_top_cagr,3,334.0,0.5986717050269095,0.6292682926829268,0.7485029940119761,204,0.6107784431137725
TW,F,fixed,0.05,equal,E_top_calmar,3,334.0,0.7216952305035207,0.7305699481865285,0.8383233532934131,252,0.7544910179640718
TW,F,fixed,0.05,proportional,A_hrp,3,334.0,0.313953488372093,0.3333333333333333,0.47754491017964074,82,0.24550898203592814
TW,F,fixed,0.05,proportional,D_top_cagr,3,334.0,0.5986717050269095,0.6292682926829268,0.7485029940119761,204,0.6107784431137725
TW,F,fixed,0.05,proportional,E_top_calmar,3,334.0,0.7216952305035207,0.7305699481865285,0.8383233532934131,252,0.7544910179640718
