control,tree_key,ratio,n_oos_months,n_cells,a_wins,enb_a_mean,enb_control_mean,enb_diff_mean,pct_n_gt_t
C_random,TW,0.03,24,64,1.0,3.380398234512051,2.4410235710154895,0.9393746634965614,1.0
C_random,TW,0.03,36,76,1.0,4.3559177182531394,2.9517186247398377,1.4041990935133026,1.0
C_random,TW,0.03,48,32,1.0,3.878022501066737,2.700181552848195,1.1778409482185423,1.0
C_random,TW,0.03,60,8,1.0,3.669467264627996,2.656368077556907,1.0130991870710886,1.0
C_random,TW,0.05,24,64,1.0,3.4610740787297516,2.4575053742708706,1.0035687044588817,1.0
C_random,TW,0.05,36,76,1.0,4.48663891612253,2.977184562292059,1.5094543538304712,1.0
C_random,TW,0.05,48,32,1.0,4.008662712904229,2.725301248531273,1.2833614643729554,1.0
C_random,TW,0.05,60,8,1.0,3.740621568077896,2.6988093923416363,1.0418121757362593,1.0
C_random,TW,legacy,24,64,1.0,2.8438903796596304,2.2754898889123902,0.56840049074724,1.0
C_random,TW,legacy,36,76,1.0,3.525222360282543,2.681385300187184,0.843837060095359,0.23684210526315788
C_random,TW,legacy,48,32,1.0,3.022140141446439,2.4248045748444467,0.5973355666019919,0.0625
C_random,TW,legacy,60,8,1.0,2.7556009140675615,2.388398925001654,0.36720198906590773,0.0
C_random,US,0.01,24,64,1.0,4.306282100297415,2.674631182297949,1.6316509179994658,1.0
C_random,US,0.01,36,76,1.0,4.510384743290377,2.7951693366491797,1.7152154066411978,1.0
C_random,US,0.01,48,32,1.0,4.72173470495597,2.7628855198031075,1.9588491851528622,1.0
C_random,US,0.01,60,8,1.0,5.068291009064724,3.145339148739854,1.9229518603248696,1.0
C_random,US,0.03,24,64,1.0,4.448016171163122,2.73763701845576,1.710379152707361,1.0
C_random,US,0.03,36,76,1.0,4.815426859435697,2.8891328730200216,1.9262939864156758,1.0
C_random,US,0.03,48,32,1.0,4.938173166733194,2.8695734173747325,2.0685997493584622,1.0
C_random,US,0.03,60,8,1.0,5.462218330642078,3.284050183236951,2.1781681474051267,1.0
C_random,US,legacy,24,64,1.0,3.9098960987082583,2.5581516193733003,1.3517444793349576,1.0
C_random,US,legacy,36,76,1.0,3.8360349199467136,2.605540824493662,1.230494095453051,0.05263157894736842
C_random,US,legacy,48,32,1.0,4.030105649698827,2.552656608369891,1.4774490413289356,0.0
C_random,US,legacy,60,8,1.0,4.522894793605877,2.983753992546176,1.539140801059701,0.0
C_random,XM,0.01,24,64,1.0,5.9668578822723255,3.9252475754406255,2.0416103068317004,1.0
C_random,XM,0.01,36,76,1.0,7.122437501302739,4.566870279456698,2.5555672218460406,1.0
C_random,XM,0.01,48,32,1.0,6.989850245832058,4.2273542773314166,2.7624959685006423,1.0
C_random,XM,0.01,60,8,1.0,8.047139337898447,5.092527667446099,2.954611670452347,1.0
C_random,XM,legacy,24,64,1.0,4.444268644082365,3.2526116883981917,1.1916569556841738,0.0
C_random,XM,legacy,36,76,1.0,4.850247678821231,3.595968632669824,1.254279046151409,0.0
C_random,XM,legacy,48,32,1.0,4.823544743956646,3.309922238848138,1.5136225051085077,0.0
C_random,XM,legacy,60,8,1.0,4.892736265625883,3.6984238017744646,1.194312463851419,0.0
