tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_draws,n_members_mean,n_backfilled_mean,enb_computed,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,F,silhouette_is,0.05,proportional,2,2007-01,2018-12,2019-01,2022-12,48,6,334,30,334.0,0.0,True,0.2286041274395976,0.0026240063247342,-0.1837886129642756,0.0018543005057504,1.1684438046290957,0.011035220443435,2.9927084417299405,0.0332569969003166
TW,F,silhouette_is,0.1,equal,2,2007-01,2018-12,2019-01,2022-12,48,6,668,30,668.0,206.8,False,0.2258582326660802,0.0024819259771521,-0.1900367791361747,0.0012181773496821,1.1468143506733577,0.0084506455550912,,
TW,F,silhouette_is,0.1,proportional,2,2007-01,2018-12,2019-01,2022-12,48,6,668,30,668.0,173.13333333333333,False,0.2292707167961243,0.0016504980173059,-0.1897828509914434,0.0012940473225646,1.159269902340151,0.0068431548875484,,
TW,F,fixed,legacy,equal,3,2007-01,2022-12,2023-01,2025-12,36,6,30,30,30.0,0.0,True,0.1423411290342944,0.0072369974597912,-0.1353533381634363,0.0059717232358942,1.1268461214214298,0.0564048518952936,3.795495074507867,0.216700219498318
TW,F,fixed,legacy,proportional,3,2007-01,2022-12,2023-01,2025-12,36,6,30,30,30.0,0.0,True,0.145704628771272,0.0057820287150805,-0.1366582076466035,0.0051272620519183,1.154662857369527,0.0408953287045802,3.91734032861052,0.2006766573385979
TW,F,fixed,0.01,equal,3,2007-01,2022-12,2023-01,2025-12,36,6,67,30,67.0,0.0666666666666666,True,0.1407703688747892,0.0038164868277297,-0.1368081908702518,0.0035147853686382,1.103317792216214,0.0255345528284016,4.602665987138514,0.1904586181375038
TW,F,fixed,0.01,proportional,3,2007-01,2022-12,2023-01,2025-12,36,6,67,30,67.0,0.0,True,0.1390858094265233,0.0040967412781553,-0.137803795358741,0.0043469920204235,1.0845326772818351,0.0303497013805767,4.450484208898114,0.1430907932153485
TW,F,fixed,0.03,equal,3,2007-01,2022-12,2023-01,2025-12,36,6,200,30,200.0,15.733333333333333,True,0.1326870715760627,0.0025692076033322,-0.1405460799278917,0.0025014054498996,1.034781624621964,0.0172249154889986,5.088676679152653,0.1373820385635692
TW,F,fixed,0.03,proportional,3,2007-01,2022-12,2023-01,2025-12,36,6,200,30,200.0,0.0,True,0.1356075437832734,0.002231610265125,-0.1418737190731216,0.0019146274673757,1.048372190902847,0.0163038930690047,5.39018442374424,0.0845702296592499
TW,F,fixed,0.05,equal,3,2007-01,2022-12,2023-01,2025-12,36,6,334,30,334.0,62.06666666666667,True,0.1313005450822268,0.0019641274628243,-0.1401257354967291,0.0020119079290602,1.0281230041719742,0.0138624823648378,5.013450255822418,0.143999571260046
