tree_key,scheme,window_no,quality_metric,mode,min_is_months,oos_len_months,is_start,is_end,oos_start,oos_end,n_is_months,n_oos_months,n_universe,n_pairs,spearman,spearman_p,pearson,oos_pct_top01,oos_pct_top03,oos_pct_top05,oos_pct_top10
TW,E,1,calmar,anchored,96,36,2007-01,2014-12,2015-01,2017-12,96,36,6679,6679,0.38735213835552446,4.956179257870771e-238,0.2818470684598618,0.663494177562554,0.6841712831262166,0.6825056280611408,0.6701844103378809
TW,E,1,cagr,anchored,96,36,2007-01,2014-12,2015-01,2017-12,96,36,6679,6679,0.44970622202436794,0.0,0.4025354503147665,0.7167799272837787,0.6799034286569846,0.675617921217006,0.6718425702868854
TW,E,2,calmar,anchored,96,36,2007-01,2017-12,2018-01,2020-12,132,36,6679,6679,0.3509026700864872,8.486958583276797e-193,0.3115422098498566,0.7205744000464812,0.6876965114538105,0.6620648506849156,0.642792495559861
TW,E,2,cagr,anchored,96,36,2007-01,2017-12,2018-01,2020-12,132,36,6679,6679,0.4432361302241466,0.0,0.43117021594593036,0.7999432393355873,0.7539923641263663,0.7325256658415464,0.7111051889334072
TW,E,3,calmar,anchored,96,36,2007-01,2020-12,2021-01,2023-12,168,36,6679,6679,0.4678186903206585,0.0,0.4326170042126681,0.7652030311088666,0.7320549483455607,0.7140554943414563,0.6913995784445482
TW,E,3,cagr,anchored,96,36,2007-01,2020-12,2021-01,2023-12,168,36,6679,6679,0.5141439172384293,0.0,0.48065874539150727,0.740458509965519,0.7231119928132955,0.717855051986161,0.7174885892237086
TW,E,4,calmar,anchored,96,36,2007-01,2023-12,2024-01,2025-12,204,24,6679,6679,0.017137676482232064,0.16138762749889088,0.011516233418047911,0.5153890675384867,0.5406737535559215,0.5059570931501274,0.48451240952740426
TW,E,4,cagr,anchored,96,36,2007-01,2023-12,2024-01,2025-12,204,24,6679,6679,-0.007882613526968105,0.5195124089354339,-0.006326081791682326,0.5170695407525928,0.4415930528522234,0.43022280039412114,0.46406423565505606
TW,F,1,calmar,anchored,96,48,2007-01,2014-12,2015-01,2018-12,96,48,6679,6679,0.45185786079312834,0.0,0.3882507476241945,0.7518754483310354,0.7434129360682737,0.7308195407358662,0.711236308637404
TW,F,1,cagr,anchored,96,48,2007-01,2014-12,2015-01,2018-12,96,48,6679,6679,0.48515168448449936,0.0,0.4307621430604174,0.7530844057895877,0.7193928731846085,0.7103142121207503,0.6983773880596346
