tree_key,is_start,is_end,oos_start,oos_end,n_members,n_universe,n_draws,enb_computed,is_cagr,is_cagr_std,is_mdd,is_mdd_std,is_sharpe,is_sharpe_std,is_enb,is_enb_std,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,2007-01,2014-12,2015-01,2016-12,67,6679,200,True,0.1524641585211454,0.00762499997135,-0.5497984103993983,0.010257827301971,0.6863942218275537,0.0264327229327072,2.577094988277902,0.2143981333898872,0.0670671367021607,0.0067450920278106,-0.1760766677505819,0.0049063744960127,0.6020183175349587,0.0536663515719342,2.767531450315189,0.1999586781509694
TW,2007-01,2014-12,2015-01,2016-12,200,6679,200,True,0.153162573540923,0.0041069454104709,-0.5490514225084402,0.0055266259197568,0.6895150334657977,0.0137543945871975,2.7425737660149,0.1356082860287899,0.0662989317045617,0.0044409284649969,-0.1770062244311093,0.0029379746526871,0.5962462133842298,0.0346343847002965,2.8605694958352275,0.1238172253423825
TW,2007-01,2014-12,2015-01,2016-12,334,6679,200,True,0.1533387193078819,0.0035060415146747,-0.5491373626269,0.0046332702540107,0.6901198707737141,0.0118832639154028,2.766271791798837,0.1079145956939072,0.0660274571533435,0.0033057044595948,-0.177294212041687,0.0022493393227858,0.594081616808593,0.0261031372719437,2.864712868132337,0.0951220089532974
TW,2007-01,2014-12,2015-01,2016-12,668,6679,200,False,0.1536683259858581,0.0024567020361494,-0.5490752941972645,0.002972770270797,0.6912543663645804,0.0081050869489887,,,0.0662901096685554,0.0023041330402311,-0.1770123246028496,0.0016475825323273,0.5965731980589315,0.0183239082581944,,
TW,2007-01,2014-12,2015-01,2017-12,30,6679,200,True,0.153694685561482,0.0101639702744589,-0.5479098313223946,0.0152296961520984,0.690601626753157,0.0357432880269809,2.353677537423863,0.2357479136498722,0.1349146582868438,0.010178517392879,-0.1768577773159802,0.0074716373669641,1.2213302170035845,0.0849993378460946,3.1135499788029835,0.3572313769800269
TW,2007-01,2014-12,2015-01,2017-12,35,6679,200,True,0.1520724899152841,0.0108811740816888,-0.5481869435641085,0.014648949435413,0.6847961628235908,0.0368326680364132,2.4265765875175065,0.2356826363234561,0.1343889314742828,0.0096830142401608,-0.176856362764728,0.0071799755496551,1.2191313947359874,0.0797751733963387,3.218061218186807,0.3386183056295027
TW,2007-01,2014-12,2015-01,2017-12,67,6679,200,True,0.1531044226664402,0.0078954344967015,-0.5482808307298984,0.0096161669588656,0.6889368707759784,0.0256482207327835,2.57174307283164,0.203576335359584,0.1353600220654988,0.0068877616980336,-0.1767640436887843,0.0053297741604637,1.22944619282452,0.0559021935293542,3.4201257535552405,0.2818854704027753
TW,2007-01,2014-12,2015-01,2017-12,200,6679,200,True,0.1530382580814125,0.004291385745558,-0.5492714360333965,0.0058183574675534,0.6890678753231643,0.0145321873385638,2.7521363399862957,0.1257736575508631,0.1348723970375031,0.0039366124536516,-0.1773108985087218,0.0028635572744996,1.2258509760704457,0.032751385768581,3.601368208598664,0.1731324723928977
TW,2007-01,2014-12,2015-01,2017-12,334,6679,200,True,0.1532703030269208,0.00322894166055,-0.549012321111976,0.0045315794521949,0.6898088033494173,0.0110067359708949,2.7816682773956574,0.100708387298622,0.1353105474104,0.0029659424396067,-0.176758475746017,0.0023882434992939,1.2303518045342834,0.0248899612778637,3.6309084668141134,0.1261303161140224
TW,2007-01,2014-12,2015-01,2017-12,668,6679,200,False,0.1532285663371104,0.002082578472929,-0.5490399474086224,0.0029275707651985,0.6900873051138317,0.0068971869634853,,,0.135299242299808,0.0019299136654748,-0.177056634349934,0.0016508231012486,1.230158372932316,0.0166978589455301,,
