tree_key,metric,ratio,n_cells,z_mean,z_median,pct_A_wins,pct_z_over_2,pct_z_under_neg2,diff_mean,diff_median,random_std_mean
XM,oos_cagr,0.05,180,-23.384057022557897,-27.345778850197025,0.1388888888888889,0.12777777777777777,0.8055555555555556,-0.0443027449038362,-0.043960721817331655,0.001932526940198718
TW,oos_cagr,0.1,180,1.7624638611645922,2.2526832762656186,0.6277777777777778,0.5166666666666667,0.2111111111111111,0.00297865375567016,0.0042449158170969475,0.001750581057784696
US,oos_cagr,0.1,180,0.7363398884279128,0.45409376174010335,0.5666666666666667,0.43333333333333335,0.3388888888888889,0.0018042025247482205,0.0020999998354461202,0.0028771517429611346
XM,oos_cagr,0.1,180,-24.807540272491316,-23.44177959545066,0.20555555555555555,0.18888888888888888,0.7722222222222223,-0.024409450278319738,-0.025685155166540685,0.0010750022066237615
TW,oos_cagr,legacy,180,-0.7510569885521293,-0.7490560452014018,0.21666666666666667,0.08333333333333333,0.21666666666666667,-0.006169807070818309,-0.00583095938924319,0.007547745947723938
US,oos_cagr,legacy,180,-3.72977727362035,-3.7738675438887306,0.011111111111111112,0.0,0.75,-0.07453037037973013,-0.05004780272395644,0.018866702923924145
XM,oos_cagr,legacy,180,-1.4626299531801408,-2.0715796508626543,0.2222222222222222,0.13333333333333333,0.5166666666666667,-0.048737843716124364,-0.04906278547896781,0.027163045382792423
TW,oos_mdd,ALL,900,-0.8209903700209303,-0.5323503236649144,0.39444444444444443,0.07555555555555556,0.27444444444444444,-0.0013654647995823223,-0.0011564832340126008,0.002403247566525523
US,oos_mdd,ALL,900,-1.3859331252973774,-0.8417317974191978,0.42444444444444446,0.20222222222222222,0.41444444444444445,-0.005218230435423341,-0.003885315278797874,0.004340981880184528
XM,oos_mdd,ALL,900,7.3832470316537435,3.0102133147784813,0.7944444444444444,0.6233333333333333,0.12666666666666668,0.013828875252015224,0.012545945058711053,0.004476439354316397
TW,oos_mdd,0.01,180,-0.35402937613584873,-0.37463244025591647,0.4111111111111111,0.044444444444444446,0.12777777777777777,-0.0010716360509343617,-0.0012155135829799157,0.003235034402444558
US,oos_mdd,0.01,180,-2.5960761255783895,-1.9686171998226691,0.3111111111111111,0.027777777777777776,0.4888888888888889,-0.011049154823662479,-0.009798093668017205,0.005717753517933992
XM,oos_mdd,0.01,180,2.72877879981693,2.7470345892312378,0.8888888888888888,0.6388888888888888,0.044444444444444446,0.01248779488215579,0.013790911318569021,0.004640254327352281
TW,oos_mdd,0.03,180,-0.7534723125038384,-0.7378371851712475,0.3277777777777778,0.06111111111111111,0.22777777777777777,-0.0013773700887684127,-0.0012297714258225068,0.002066973445466104
US,oos_mdd,0.03,180,-3.3044139723165706,-2.957922327431164,0.3611111111111111,0.15,0.5833333333333334,-0.008359003165228928,-0.00903638051153488,0.0032894446132216704
XM,oos_mdd,0.03,180,2.809442410501582,2.4673375319799753,0.5944444444444444,0.5111111111111111,0.25555555555555554,0.008408593757427033,0.004090830418566005,0.0022822763531193534
TW,oos_mdd,0.05,180,-1.1563923036028734,-0.9763915318596967,0.3888888888888889,0.07222222222222222,0.43333333333333335,-0.0018008734603094816,-0.0017498410406470988,0.0016237749986197864
