tree_key,scheme,window_no,ratio,allocation,group,threshold_mode,is_start,is_end,oos_start,oos_end,n_clusters,target_total,n_members,n_draws,n_backfilled_mean,threshold_global,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,E,3,0.03,proportional,A2_random,group_relative,2007-01,2020-12,2021-01,2023-12,6,200,200,30,0.0,0.8250128103106961,0.2592124706432724,0.0025175079022557354,-0.13351891622776915,0.0012668607485638713,1.3609934290491075,0.011990141579588779,3.1517913411332055,0.06646299374875562
TW,E,3,0.03,proportional,A_hrp,global,2007-01,2020-12,2021-01,2023-12,6,200,200,1,32.0,0.8250128103106961,0.246280824323027,,-0.1341563000499455,,1.2817978871410234,,3.035216596972689,
TW,E,3,0.03,proportional,A2_random,global,2007-01,2020-12,2021-01,2023-12,6,200,200,30,0.0,0.8250128103106961,0.25975584348961206,0.0028926972992674577,-0.13349499897258585,0.0011270361331025475,1.3622557700637865,0.01251374189322439,3.140059495504292,0.05868332752486593
TW,E,4,legacy,equal,A_hrp,group_relative,2007-01,2023-12,2024-01,2025-12,6,30,30,1,2.0,0.8265066966692963,0.0024100475054662507,,-0.1362210192630262,,0.08322910163150554,,3.142125211991085,
TW,E,4,legacy,equal,A2_random,group_relative,2007-01,2023-12,2024-01,2025-12,6,30,30,30,0.0,0.8265066966692963,0.004650546563019749,0.006271326984403834,-0.13198066042997988,0.00571383502290605,0.09941116975909471,0.052317865291796724,3.4683836204628724,0.18411874783808466
TW,E,4,legacy,equal,A_hrp,global,2007-01,2023-12,2024-01,2025-12,6,30,30,1,2.0,0.8265066966692963,-0.0037440285624312786,,-0.13923576373296442,,0.03120701506663858,,3.666995097599303,
TW,E,4,legacy,equal,A2_random,global,2007-01,2023-12,2024-01,2025-12,6,30,30,30,0.0,0.8265066966692963,0.004956854680081157,0.00661634455098588,-0.13165018123118288,0.005643939427014285,0.10190779884785167,0.05533215712025574,3.469248460093262,0.15728482320630746
TW,E,4,legacy,proportional,A_hrp,group_relative,2007-01,2023-12,2024-01,2025-12,6,30,30,1,0.0,0.8265066966692963,0.015477298999090339,,-0.12517524917574052,,0.18985818860704198,,3.5223990014541062,
TW,E,4,legacy,proportional,A2_random,group_relative,2007-01,2023-12,2024-01,2025-12,6,30,30,30,0.0,0.8265066966692963,0.008520306683256504,0.0060282113330864355,-0.1357910339665794,0.00521604483404952,0.13137775875007232,0.04984884444518085,3.5460573613145483,0.1451447600753552
TW,E,4,legacy,proportional,A_hrp,global,2007-01,2023-12,2024-01,2025-12,6,30,30,1,0.0,0.8265066966692963,0.016161229788643094,,-0.13225615273489477,,0.19351930214278068,,3.738789773036649,
TW,E,4,legacy,proportional,A2_random,global,2007-01,2023-12,2024-01,2025-12,6,30,30,30,0.0,0.8265066966692963,0.007955014259982315,0.006386660680387631,-0.1357875445392756,0.005562002588885876,0.12663180890442635,0.05271433688330206,3.5506680432933253,0.15693462126348667
TW,E,4,0.03,equal,A_hrp,group_relative,2007-01,2023-12,2024-01,2025-12,6,200,200,1,69.0,0.8265066966692963,0.006878362660532655,,-0.13361249137706477,,0.11847258289177413,,3.9449207717718084,
TW,E,4,0.03,equal,A2_random,group_relative,2007-01,2023-12,2024-01,2025-12,6,200,200,30,14.8,0.8265066966692963,-0.005388810638250138,0.0038978523465432566,-0.1396949022915587,0.002785010918880262,0.01897569919001442,0.031697638999207314,4.244682836087049,0.10938170243728162
TW,E,4,0.03,equal,A_hrp,global,2007-01,2023-12,2024-01,2025-12,6,200,200,1,68.0,0.8265066966692963,0.0058199003612584566,,-0.13895604664144978,,0.11015692642563495,,3.8568439831913977,
