high門檻,low門檻,same誤判為高互補,cross判為高互補,cross誤判為低互補,核心結論成立
0.39,0.7,2,2,3,False
0.39,0.71,2,2,3,False
0.39,0.72,2,2,3,False
0.39,0.73,2,2,3,False
0.39,0.74,2,2,3,False
0.39,0.75,2,2,3,False
0.39,0.76,2,2,3,False
0.39,0.77,2,2,3,False
0.39,0.78,2,2,3,False
0.39,0.79,2,2,3,False
0.39,0.8,2,2,3,False
0.39,0.81,2,2,3,False
0.39,0.82,2,2,3,False
0.39,0.83,2,2,3,False
0.39,0.84,2,2,3,False
0.39,0.85,2,2,3,False
0.39,0.86,2,2,3,False
0.39,0.87,2,2,3,False
0.39,0.88,2,2,3,False
0.39,0.89,2,2,3,False
0.39,0.9,2,2,3,False
0.4,0.65,2,2,3,False
0.4,0.66,2,2,3,False
0.4,0.67,2,2,3,False
0.4,0.68,2,2,3,False
0.4,0.69,2,2,3,False
0.4,0.7,2,2,3,False
0.4,0.71,2,2,3,False
0.4,0.72,2,2,3,False
0.4,0.73,2,2,3,False
0.4,0.74,2,2,3,False
0.4,0.75,2,2,3,False
0.4,0.76,2,2,3,False
0.4,0.77,2,2,3,False
0.4,0.78,2,2,3,False
0.4,0.79,2,2,3,False
0.4,0.8,2,2,3,False
0.4,0.81,2,2,3,False
0.4,0.82,2,2,3,False
0.4,0.83,2,2,3,False
0.4,0.84,2,2,3,False
0.4,0.85,2,2,3,False
0.4,0.86,2,2,3,False
0.4,0.87,2,2,3,False
0.4,0.88,2,2,3,False
0.4,0.89,2,2,3,False
0.4,0.9,2,2,3,False
0.41,0.65,2,5,3,False
0.41,0.66,2,5,3,False
0.41,0.67,2,5,3,False
0.41,0.68,2,5,3,False
0.41,0.69,2,5,3,False
0.41,0.7,2,5,3,False
0.41,0.71,2,5,3,False
0.41,0.72,2,5,3,False
0.41,0.73,2,5,3,False
0.41,0.74,2,5,3,False
0.41,0.75,2,5,3,False
0.41,0.76,2,5,3,False
0.41,0.77,2,5,3,False
0.41,0.78,2,5,3,False
0.41,0.79,2,5,3,False
0.41,0.8,2,5,3,False
0.41,0.81,2,5,3,False
0.41,0.82,2,5,3,False
0.41,0.83,2,5,3,False
0.41,0.84,2,5,3,False
0.41,0.85,2,5,3,False
0.41,0.86,2,5,3,False
0.41,0.87,2,5,3,False
0.41,0.88,2,5,3,False
0.41,0.89,2,5,3,False
0.41,0.9,2,5,3,False
0.42,0.65,2,6,3,False
0.42,0.66,2,6,3,False
0.42,0.67,2,6,3,False
0.42,0.68,2,6,3,False
0.42,0.69,2,6,3,False
0.42,0.7,2,6,3,False
0.42,0.71,2,6,3,False
0.42,0.72,2,6,3,False
0.42,0.73,2,6,3,False
0.42,0.74,2,6,3,False
0.42,0.75,2,6,3,False
0.42,0.76,2,6,3,False
0.42,0.77,2,6,3,False
0.42,0.78,2,6,3,False
0.42,0.79,2,6,3,False
0.42,0.8,2,6,3,False
0.42,0.81,2,6,3,False
0.42,0.82,2,6,3,False
0.42,0.83,2,6,3,False
0.42,0.84,2,6,3,False
0.42,0.85,2,6,3,False
0.42,0.86,2,6,3,False
0.42,0.87,2,6,3,False
0.42,0.88,2,6,3,False
0.42,0.89,2,6,3,False
0.42,0.9,2,6,3,False
0.43,0.65,2,7,3,False
0.43,0.66,2,7,3,False
0.43,0.67,2,7,3,False
0.43,0.68,2,7,3,False
0.43,0.69,2,7,3,False
0.43,0.7,2,7,3,False
0.43,0.71,2,7,3,False
0.43,0.72,2,7,3,False
0.43,0.73,2,7,3,False
0.43,0.74,2,7,3,False
0.43,0.75,2,7,3,False
0.43,0.76,2,7,3,False
0.43,0.77,2,7,3,False
0.43,0.78,2,7,3,False
0.43,0.79,2,7,3,False
0.43,0.8,2,7,3,False
0.43,0.81,2,7,3,False
0.43,0.82,2,7,3,False
0.43,0.83,2,7,3,False
0.43,0.84,2,7,3,False
0.43,0.85,2,7,3,False
0.43,0.86,2,7,3,False
0.43,0.87,2,7,3,False
0.43,0.88,2,7,3,False
0.43,0.89,2,7,3,False
0.43,0.9,2,7,3,False
0.44,0.65,2,7,3,False
0.44,0.66,2,7,3,False
0.44,0.67,2,7,3,False
0.44,0.68,2,7,3,False
0.44,0.69,2,7,3,False
0.44,0.7,2,7,3,False
0.44,0.71,2,7,3,False
0.44,0.72,2,7,3,False
0.44,0.73,2,7,3,False
0.44,0.74,2,7,3,False
0.44,0.75,2,7,3,False
0.44,0.76,2,7,3,False
0.44,0.77,2,7,3,False
0.44,0.78,2,7,3,False
0.44,0.79,2,7,3,False
0.44,0.8,2,7,3,False
0.44,0.81,2,7,3,False
0.44,0.82,2,7,3,False
0.44,0.83,2,7,3,False
0.44,0.84,2,7,3,False
0.44,0.85,2,7,3,False
0.44,0.86,2,7,3,False
0.44,0.87,2,7,3,False
0.44,0.88,2,7,3,False
0.44,0.89,2,7,3,False
0.44,0.9,2,7,3,False
0.45,0.65,2,8,3,False
0.45,0.66,2,8,3,False
0.45,0.67,2,8,3,False
0.45,0.68,2,8,3,False
0.45,0.69,2,8,3,False
0.45,0.7,2,8,3,False
0.45,0.71,2,8,3,False
0.45,0.72,2,8,3,False
0.45,0.73,2,8,3,False
0.45,0.74,2,8,3,False
0.45,0.75,2,8,3,False
0.45,0.76,2,8,3,False
0.45,0.77,2,8,3,False
0.45,0.78,2,8,3,False
0.45,0.79,2,8,3,False
0.45,0.8,2,8,3,False
0.45,0.81,2,8,3,False
0.45,0.82,2,8,3,False
0.45,0.83,2,8,3,False
0.45,0.84,2,8,3,False
0.45,0.85,2,8,3,False
0.45,0.86,2,8,3,False
0.45,0.87,2,8,3,False
0.45,0.88,2,8,3,False
0.45,0.89,2,8,3,False
0.45,0.9,2,8,3,False
0.46,0.65,3,8,3,False
0.46,0.66,3,8,3,False
0.46,0.67,3,8,3,False
0.46,0.68,3,8,3,False
0.46,0.69,3,8,3,False
0.46,0.7,3,8,3,False
0.46,0.71,3,8,3,False
