opponent,metric,scheme,mode,min_is_months,oos_len_months,n_units,n_wins,win_rate,win_share_mean,win_share_std,n_cells,diff_mean,diff_median,diff_std,pct_positive,min_wins_for_sig,detectable_win_rate,p_value,significant_05,wins_short_of_sig,direction,verdict
E_top_calmar,mdd,D,anchored,96,24,15,8,0.5333333333333333,0.5166666666666667,0.41259919442249915,300,0.004475989061518267,0.000624143138114,0.02283552686253609,0.5166666666666667,12.0,0.8,1.0,False,4.0,A勝,效果不足
B_all,cagr,E,anchored,96,36,12,11,0.9166666666666666,0.8541666666666666,0.2725788737672867,240,0.03565217813585219,0.023532721797133935,0.04753963155474492,0.8541666666666666,10.0,0.8333333333333334,0.00634765625,True,0.0,A勝,顯著（A勝）
B_all,calmar,E,anchored,96,36,12,11,0.9166666666666666,0.8958333333333334,0.25977116969760256,240,0.30992563739650597,0.18257464327333228,0.5561068984760584,0.8958333333333334,10.0,0.8333333333333334,0.00634765625,True,0.0,A勝,顯著（A勝）
B_all,mdd,E,anchored,96,36,12,11,0.9166666666666666,0.8166666666666668,0.28471144350132127,240,0.011180406945067108,0.00921612022787209,0.012831261242037015,0.8166666666666667,10.0,0.8333333333333334,0.00634765625,True,0.0,A勝,顯著（A勝）
D_top_cagr,cagr,E,anchored,96,36,12,0,0.0,0.07916666666666666,0.17510819166412173,240,-0.08817127479247057,-0.034039927507760206,0.12455112711464869,0.07916666666666666,10.0,0.8333333333333334,0.00048828125,True,10.0,A敗,顯著（A敗）
D_top_cagr,calmar,E,anchored,96,36,12,3,0.25,0.35833333333333334,0.39128769544423525,240,-0.2389509345717031,-0.09414109600178328,0.6532876428591688,0.35833333333333334,10.0,0.8333333333333334,0.14599609375,False,7.0,A敗,效果不足
D_top_cagr,mdd,E,anchored,96,36,12,11,0.9166666666666666,0.8875000000000001,0.18106377580590466,240,0.02847533256538951,0.020114344592500236,0.03444119430212725,0.8875,10.0,0.8333333333333334,0.00634765625,True,0.0,A勝,顯著（A勝）
E_top_calmar,cagr,E,anchored,96,36,12,1,0.08333333333333333,0.10416666666666667,0.23592981750486477,240,-0.051630204618938705,-0.023364794897025587,0.06935102260044969,0.10416666666666667,10.0,0.8333333333333334,0.00634765625,True,9.0,A敗,顯著（A敗）
E_top_calmar,calmar,E,anchored,96,36,12,2,0.16666666666666666,0.25,0.3599242344514391,240,-0.24378073842732648,-0.14463927133143756,0.5299077226179814,0.25,10.0,0.8333333333333334,0.03857421875,True,8.0,A敗,顯著（A敗）
E_top_calmar,mdd,E,anchored,96,36,12,5,0.4166666666666667,0.49583333333333335,0.40139435003799473,240,0.005195314530252176,-0.0002290117144443382,0.024534624760758166,0.49583333333333335,10.0,0.8333333333333334,0.7744140625,False,5.0,A敗,效果不足
B_all,cagr,F,anchored,96,48,9,9,1.0,0.9833333333333333,0.03535533905932739,180,0.03281369335547604,0.025674780467719843,0.028598009058093243,0.9833333333333333,8.0,0.8888888888888888,0.00390625,True,0.0,A勝,顯著（A勝）
B_all,calmar,F,anchored,96,48,9,9,1.0,0.9944444444444444,0.016666666666666687,180,0.2724264627999326,0.20023026754036605,0.28108475423763407,0.9944444444444445,8.0,0.8888888888888888,0.00390625,True,0.0,A勝,顯著（A勝）
B_all,mdd,F,anchored,96,48,9,8,0.8888888888888888,0.8444444444444444,0.2022443516585266,180,0.0160406594152425,0.012545206698169248,0.01624248894691049,0.8444444444444444,8.0,0.8888888888888888,0.0390625,True,0.0,A勝,顯著（A勝）
D_top_cagr,cagr,F,anchored,96,48,9,1,0.1111111111111111,0.11666666666666667,0.31424512724941334,180,-0.09050531569757037,-0.0431490714558741,0.11725879407829964,0.11666666666666667,8.0,0.8888888888888888,0.0390625,True,7.0,A敗,顯著（A敗）
D_top_cagr,calmar,F,anchored,96,48,9,3,0.3333333333333333,0.26666666666666666,0.3840572873934304,180,-0.2803404664844429,-0.09829710245170342,0.5017522287420082,0.26666666666666666,8.0,0.8888888888888888,0.5078125,False,5.0,A敗,效果不足
D_top_cagr,mdd,F,anchored,96,48,9,8,0.8888888888888888,0.8666666666666667,0.19843134832984427,180,0.02212320197707166,0.022904446781845722,0.02355935922886127,0.8666666666666667,8.0,0.8888888888888888,0.0390625,True,0.0,A勝,顯著（A勝）
E_top_calmar,cagr,F,anchored,96,48,9,0,0.0,0.027777777777777776,0.056519416526043906,180,-0.05389906471694171,-0.031008395935211902,0.06163029496706307,0.027777777777777776,8.0,0.8888888888888888,0.00390625,True,8.0,A敗,顯著（A敗）
E_top_calmar,calmar,F,anchored,96,48,9,0,0.0,0.07777777777777778,0.10929064207170001,180,-0.30404832378062724,-0.16164532653968738,0.3714081373978382,0.07777777777777778,8.0,0.8888888888888888,0.00390625,True,8.0,A敗,顯著（A敗）
E_top_calmar,mdd,F,anchored,96,48,9,5,0.5555555555555556,0.5055555555555555,0.35746017649212025,180,-0.001515377902917723,0.0003745256217742021,0.018312474977267203,0.5055555555555555,8.0,0.8888888888888888,1.0,False,3.0,A勝,效果不足
B_all,cagr,G,anchored,120,24,12,11,0.9166666666666666,0.8958333333333334,0.21997761594114867,240,0.03433666476942466,0.026444653125646846,0.034237090082905715,0.8958333333333334,10.0,0.8333333333333334,0.00634765625,True,0.0,A勝,顯著（A勝）
B_all,calmar,G,anchored,120,24,12,11,0.9166666666666666,0.9291666666666667,0.16019637570144585,240,0.27699947512308754,0.21858866620189,0.29770013473119633,0.9291666666666667,10.0,0.8333333333333334,0.00634765625,True,0.0,A勝,顯著（A勝）
B_all,mdd,G,anchored,120,24,12,10,0.8333333333333334,0.7833333333333333,0.2979729497586632,240,0.012775179886043885,0.008564869927648405,0.017010988576815714,0.7833333333333333,10.0,0.8333333333333334,0.03857421875,True,0.0,A勝,顯著（A勝）
D_top_cagr,cagr,G,anchored,120,24,12,2,0.16666666666666666,0.1708333333333333,0.37686405393923567,240,-0.09141656335037561,-0.0434093635466261,0.11985391716840162,0.17083333333333334,10.0,0.8333333333333334,0.03857421875,True,8.0,A敗,顯著（A敗）
D_top_cagr,calmar,G,anchored,120,24,12,3,0.25,0.25833333333333336,0.3710141710925813,240,-0.2915818456601514,-0.18121308210146347,0.5379752110272953,0.25833333333333336,10.0,0.8333333333333334,0.14599609375,False,7.0,A敗,效果不足
