subject,opponent,metric,tree_key,win_rate,n_cells,cohens_d,diff_mean,diff_median,n_schemes,n_sig_raw,n_sig_bh_family,n_sig_bonferroni_family,min_p
E_top_calmar,D_top_cagr,mdd,TW,0.9733333333333334,900,1.181498837873738,0.008387560701148704,0.0069712417175959995,13,13,13,10,3.814697265625e-06
E_top_calmar,D_top_cagr,mdd,US,0.9022222222222223,900,1.1955392621012424,0.027579822631628607,0.029340598337255108,13,13,13,10,3.814697265625e-06
E_top_calmar,D_top_cagr,mdd,XM,0.9533333333333334,900,1.4248063658331875,0.03156960714901719,0.02934233256474595,13,13,13,10,3.814697265625e-06
E_top_calmar,D_top_cagr,calmar,TW,0.5511111111111111,900,0.2897395821536105,0.036060122492781295,0.018862266761676016,13,0,0,0,0.19384765625
E_top_calmar,D_top_cagr,calmar,US,0.4444444444444444,900,-0.10853750806594814,-0.08540931556077642,-0.03885141868884667,13,0,0,0,0.19384765625
E_top_calmar,D_top_cagr,calmar,XM,0.6777777777777778,900,0.0017173009143579793,0.0009108161967054606,0.04623723488355691,13,0,0,0,0.19384765625
D_top_cagr,B_all,cagr,TW,0.92,900,1.310143569475233,0.04180662309386179,0.042512384639933204,13,12,12,8,0.000244140625
D_top_cagr,B_all,cagr,US,0.9777777777777777,900,1.2797641863195375,0.15890111450140282,0.148285590522653,13,12,12,8,0.000244140625
D_top_cagr,B_all,cagr,XM,0.8777777777777778,900,0.8843167643291311,0.14369814806904602,0.11579592092657515,13,12,12,8,0.000244140625
D_top_cagr,B_all,mdd,TW,0.3,900,-0.30121427773705783,-0.0026205908397611104,-0.00337984669794629,13,0,0,0,0.80615234375
D_top_cagr,B_all,mdd,US,0.44,900,-0.027267681713390553,-0.0010572388363507168,-0.009096050492584912,13,0,0,0,0.80615234375
D_top_cagr,B_all,mdd,XM,0.13777777777777778,900,-0.8778043351762725,-0.03736188246907349,-0.02951702356056879,13,0,0,0,0.80615234375
D_top_cagr,B_all,calmar,TW,0.8822222222222222,900,1.1738919163619217,0.22810617943853642,0.24523264463313654,13,11,11,4,0.001953125
D_top_cagr,B_all,calmar,US,0.8733333333333333,900,0.6110838114987875,0.8830797567329773,0.6065647106144355,13,11,11,4,0.001953125
D_top_cagr,B_all,calmar,XM,0.7644444444444445,900,0.620872898970072,0.5135220865185238,0.38250980505968124,13,11,11,4,0.001953125
D_top_cagr,E_top_calmar,cagr,TW,0.6666666666666666,900,0.38163490406769546,0.006428359790000796,0.004428760757942907,13,1,0,0,0.01953125
D_top_cagr,E_top_calmar,cagr,US,0.7933333333333333,900,0.9527574712567476,0.052415801414885665,0.04543964442032071,13,1,0,0,0.01953125
D_top_cagr,E_top_calmar,cagr,XM,0.7,900,0.49924869780282743,0.04935623188545048,0.02342858045954671,13,1,0,0,0.01953125
D_top_cagr,E_top_calmar,mdd,TW,0.02666666666666667,900,-1.181498837873738,-0.008387560701148704,-0.0069712417175959995,13,0,0,0,1.0
