tree_id,level,cluster_id,market,n_members,top_F1,top_C_source,pct_v1,CAGR_median,MDD_median,n_cross_partners,n_high_complement,pct_high_complement,min_cross_corr,best_partner_cluster,universal
XM_normal,L3,142,TW,27,PB52%/P_IC48%,FCF_P100%,1.0,0.1207324947725543,-0.5797213997933462,163,101,0.6196319018404908,0.4084472550272196,435,False
XM_normal,L3,36,TW,34,MOM100%,FCF_P53%/ROE21%,1.0,0.15620221079789914,-0.6659535198761094,163,100,0.6134969325153374,0.40275104612769513,386,False
XM_normal,L3,74,TW,21,OCF_E86%/PS14%,EPS43%/ROE38%,1.0,0.1068312212477533,-0.6108680533469186,163,97,0.5950920245398773,0.33736106650013076,192,False
XM_normal,L3,145,TW,46,PB57%/P_IC43%,ROE61%/EPS39%,1.0,0.1855717584962184,-0.5070346149428178,163,92,0.5644171779141104,0.4077905165722722,435,False
XM_normal,L3,169,TW,62,PB29%/PS29%,ROE34%/EPS32%,0.0,0.18463352994557314,-0.6543746561422656,163,91,0.558282208588957,0.4125666549247211,435,False
XM_normal,L3,98,TW,38,PS37%/PB21%,ROE37%/EPS34%,1.0,0.16241631027461784,-0.5721661834680801,163,90,0.5521472392638037,0.40945037796456685,435,False
XM_normal,L3,161,TW,68,P_IC53%/PB47%,EPS50%/ROE50%,0.0,0.2112974073678063,-0.5404841374719196,163,85,0.5214723926380368,0.36263686738385265,192,False
XM_normal,L3,178,TW,20,P_IC35%/PB30%,FCF_P100%,0.0,0.12818569563611099,-0.5735692885683641,163,83,0.50920245398773,0.3976295002101502,192,False
XM_normal,L3,48,TW,20,MOM100%,ROE35%/EPS35%,0.0,0.17687633511686252,-0.5853092340324195,163,79,0.48466257668711654,0.3829550647001582,192,False
XM_normal,L3,184,TW,63,PS29%/P_IC27%,FCF_P100%,0.0,0.1222265529766997,-0.6038109508403202,163,78,0.4785276073619632,0.40646732553936493,192,False
XM_normal,L3,71,TW,22,OCF_E100%,ROE41%/EPS36%,1.0,0.12794029594135575,-0.5779761971707977,163,75,0.4601226993865031,0.4061564871979984,435,False
XM_normal,L3,162,TW,110,PB57%/P_IC30%,FCF_P69%/無16%,0.0,0.16520203873800982,-0.5928069261672845,163,71,0.43558282208588955,0.40285630436823844,192,False
XM_normal,L3,163,TW,187,P_IC59%/PB37%,ROE40%/EPS38%,0.0,0.1966788916180595,-0.5409441731051182,163,69,0.4233128834355828,0.3977452430282906,192,False
XM_normal,L3,116,TW,61,PB41%/P_IC39%,ROE51%/EPS49%,0.0,0.1480390316094111,-0.5598293709881191,163,68,0.4171779141104294,0.40536735272227625,435,False
XM_normal,L3,132,TW,21,P_IC100%,ROE43%/EPS29%,0.0,0.1934258872786221,-0.4598229608098634,163,66,0.4049079754601227,0.4186851839916255,435,False
XM_normal,L3,49,TW,81,PS30%/PB25%,FCF_P32%/ROE31%,0.14814814814814814,0.1330207374590815,-0.5766131977611735,163,65,0.3987730061349693,0.3848939636888821,192,False
XM_normal,L3,165,TW,82,PB46%/PS22%,ROE52%/EPS48%,0.0,0.1991985570227674,-0.5453128984950687,163,62,0.3803680981595092,0.42358146221430887,435,False
XM_normal,L3,107,TW,34,MOM100%,EPS35%/ROE35%,0.0,0.16611389350669192,-0.6776516586177428,163,62,0.3803680981595092,0.41887675304021554,435,False
XM_normal,L3,102,TW,54,MOM100%,ROE33%/EPS33%,0.0,0.16060243289894874,-0.6177749385531184,163,62,0.3803680981595092,0.40975226381541724,192,False
XM_normal,L3,70,TW,26,PS50%/EV_S50%,FCF_P38%/EPS31%,1.0,0.12822034393653592,-0.5929525144721475,163,61,0.37423312883435583,0.42248413046954364,192,False
XM_normal,L3,113,TW,92,P_IC52%/PB35%,EPS39%/ROE39%,0.0,0.13729072995456815,-0.6289307973129618,163,59,0.3619631901840491,0.4165088813777173,435,False
XM_normal,L3,83,TW,23,PB65%/P_IC35%,ROE39%/EPS39%,1.0,0.1134600943746573,-0.6757920946603188,163,58,0.3558282208588957,0.4116342398822102,192,False
XM_normal,L3,134,TW,52,EV_S50%/PS50%,ROE46%/EPS46%,0.0,0.17815857262830856,-0.442224154783744,163,55,0.3374233128834356,0.4299257940797248,192,False
