tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_members,n_backfilled,n_capped_clusters,r2_median,max_cluster_share,enb_computed,oos_cagr,oos_mdd,oos_sharpe,oos_enb
TW,R,silhouette_is,legacy,equal,2,2010-01,2017-12,2018-01,2020-12,36,5,25,25,0,0,0.8630357416864565,0.3023952095808383,True,0.21302839775844729,-0.1972782940070168,1.1818760152907766,2.583144395401915
TW,R,silhouette_is,legacy,proportional,2,2010-01,2017-12,2018-01,2020-12,36,5,25,25,0,0,0.8630357416864565,0.3023952095808383,True,0.211883946431618,-0.19304795152473253,1.182912887654352,2.67480829565818
TW,R,silhouette_is,0.01,equal,2,2010-01,2017-12,2018-01,2020-12,36,5,67,67,0,0,0.8630357416864565,0.3023952095808383,True,0.202480250759983,-0.19553734147783763,1.1441403569918358,2.8595243067770815
TW,R,silhouette_is,0.01,proportional,2,2010-01,2017-12,2018-01,2020-12,36,5,67,67,0,0,0.8630357416864565,0.3023952095808383,True,0.20219572844238387,-0.1909124326836027,1.1483609182768886,2.9862138843269066
TW,R,silhouette_is,0.03,equal,2,2010-01,2017-12,2018-01,2020-12,36,5,200,200,25,0,0.8630357416864565,0.3023952095808383,True,0.2012713431940676,-0.19426397823019192,1.125841363777271,3.055156609717859
TW,R,silhouette_is,0.03,proportional,2,2010-01,2017-12,2018-01,2020-12,36,5,200,200,5,0,0.8630357416864565,0.3023952095808383,True,0.1957644922181001,-0.1931846766434102,1.0997156600225892,3.2580337748906953
TW,R,silhouette_is,0.05,equal,2,2010-01,2017-12,2018-01,2020-12,36,5,334,334,52,0,0.8630357416864565,0.3023952095808383,True,0.1901214010368073,-0.1965975419294249,1.0682646842084067,3.1546369592017403
TW,R,silhouette_is,0.05,proportional,2,2010-01,2017-12,2018-01,2020-12,36,5,334,334,54,0,0.8630357416864565,0.3023952095808383,True,0.19021078566938976,-0.19678804494867208,1.070077415448048,3.2372759739174417
TW,R,silhouette_is,0.1,equal,2,2010-01,2017-12,2018-01,2020-12,36,5,668,668,288,0,0.8630357416864565,0.3023952095808383,False,0.1890067516250673,-0.201654434538745,1.0609734763804992,
TW,R,silhouette_is,0.1,proportional,2,2010-01,2017-12,2018-01,2020-12,36,5,668,668,289,0,0.8630357416864565,0.3023952095808383,False,0.1866019296838859,-0.2009354254288659,1.048753440705398,
