dimension,value,n_cells,win_B_cagr,win_B_mdd,win_B_calmar,win_D_cagr,win_D_mdd,win_D_calmar,win_E_cagr,win_E_mdd,win_E_calmar,mean_cagr_A,mean_mdd_A,mean_cagr_B,mean_mdd_B,pct_backfilled_A
scheme,L,120,0.975,0.8166666666666667,0.9916666666666667,0.15833333333333333,0.8416666666666667,0.13333333333333333,0.025,0.5416666666666666,0.03333333333333333,0.2546096068771223,-0.19393585219969228,0.2190353305548704,-0.20887953926448946,0.1707573496430757
scheme,R,240,0.8375,0.6625,0.8333333333333334,0.19583333333333333,0.8666666666666667,0.5208333333333334,0.21666666666666667,0.475,0.37916666666666665,0.20947266455534805,-0.1772861685705122,0.1727139595079887,-0.18337694643135236,0.17211840006651746
k_mode,fixed,1350,0.8985185185185185,0.7866666666666666,0.922962962962963,0.14148148148148149,0.8392592592592593,0.31037037037037035,0.10592592592592592,0.5051851851851852,0.1837037037037037,0.22168372860900254,-0.174562391728697,0.1905967367567047,-0.18628612536944558,0.17463065920766876
k_mode,silhouette_is,1350,0.9207407407407407,0.7770370370370371,0.942962962962963,0.14666666666666667,0.857037037037037,0.31555555555555553,0.12444444444444444,0.5155555555555555,0.20814814814814814,0.224423337348691,-0.17420882298619061,0.1905967367567047,-0.18628612536944558,0.1717231497155009
ratio,0.01,540,0.9425925925925925,0.8481481481481481,0.9444444444444444,0.1388888888888889,0.8777777777777778,0.31296296296296294,0.11851851851851852,0.5574074074074075,0.2074074074074074,0.22997035382328093,-0.170403269173022,0.1905967367567047,-0.18628612536944558,0.03048952328305562
ratio,0.03,540,0.8462962962962963,0.7722222222222223,0.9166666666666666,0.14814814814814814,0.8944444444444445,0.3111111111111111,0.07962962962962963,0.40185185185185185,0.14814814814814814,0.21179827924831238,-0.17672779179185047,0.1905967367567047,-0.18628612536944558,0.09314655216695834
ratio,0.05,540,0.912962962962963,0.7814814814814814,0.9296296296296296,0.11851851851851852,0.8333333333333334,0.2611111111111111,0.08333333333333333,0.4537037037037037,0.17777777777777778,0.2109436647539004,-0.17775054419167827,0.1905967367567047,-0.18628612536944558,0.21912760002069906
ratio,0.1,540,0.9222222222222223,0.7388888888888889,0.9296296296296296,0.14074074074074075,0.8185185185185185,0.34814814814814815,0.13148148148148148,0.5685185185185185,0.22037037037037038,0.21427933132727,-0.1783053926117591,0.1905967367567047,-0.18628612536944558,0.5168632710796354
ratio,legacy,540,0.924074074074074,0.7685185185185185,0.9444444444444444,0.17407407407407408,0.8166666666666667,0.3314814814814815,0.16296296296296298,0.5703703703703704,0.22592592592592592,0.24827603574147028,-0.16874103901890924,0.1905967367567047,-0.18628612536944558,0.006257575757575757
allocation,equal,1350,0.9007407407407407,0.7340740740740741,0.9177777777777778,0.14,0.857037037037037,0.3022222222222222,0.11481481481481481,0.45111111111111113,0.20666666666666667,0.2271151928091651,-0.1760461951682495,0.1905967367567047,-0.18628612536944558,0.22131448289491715
allocation,proportional,1350,0.9185185185185185,0.8296296296296296,0.9481481481481482,0.14814814814814814,0.8392592592592593,0.3237037037037037,0.11555555555555555,0.5696296296296296,0.18518518518518517,0.21899187314852855,-0.1727250195466382,0.1905967367567047,-0.18628612536944558,0.1250393260282525
window_no,1,780,0.9346153846153846,0.9115384615384615,0.9576923076923077,0.10256410256410256,0.8448717948717949,0.4217948717948718,0.12692307692307692,0.491025641025641,0.23846153846153847,0.21676460784402074,-0.1717289720677578,0.19051392318287005,-0.187571221464716,0.17896363895538522
window_no,2,780,0.9320512820512821,0.8294871794871795,0.9551282051282052,0.08205128205128205,0.8564102564102564,0.23846153846153847,0.06794871794871794,0.517948717948718,0.15128205128205127,0.20899580905781304,-0.19339459749551716,0.17601974854703625,-0.2083168340602422,0.17086250005254885
window_no,3,600,0.9116666666666666,0.6683333333333333,0.9333333333333333,0.195,0.8416666666666667,0.31333333333333335,0.10833333333333334,0.5533333333333333,0.20333333333333334,0.24550463845353074,-0.16926429210494515,0.21178648615088158,-0.17739882911407917,0.16771757395210932
window_no,4,360,0.825,0.675,0.8472222222222222,0.19444444444444445,0.8444444444444444,0.23055555555555557,0.16666666666666666,0.4222222222222222,0.19722222222222222,0.23051258399695712,-0.1622363568355309,0.18753955686664295,-0.16928388607988212,0.1758082016075698
window_no,5,120,0.8083333333333333,0.5916666666666667,0.8583333333333333,0.325,0.8583333333333333,0.35833333333333334,0.25833333333333336,0.6166666666666667,0.25,0.20001339745042016,-0.14701476926689558,0.17354247198300352,-0.15068705136823973,0.16891779157570863
window_no,6,60,0.9833333333333333,0.6333333333333333,0.9833333333333333,0.31666666666666665,0.85,0.26666666666666666,0.05,0.55,0.03333333333333333,0.26437488090637573,-0.14065532616596926,0.2217282748882486,-0.14526520944403068,0.17536036135024496
